input_id,category,field,required_value,evidence_method,current_state,completed_value,reviewer,review_date,warning
PREM-001,identity,facility_legal_name,Exact legal facility name,Written premises record,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-002,identity,street_address,Exact street address city state ZIP,Written premises record,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-003,identity,room_and_bench,Exact room and bench identifier,Photograph and site sketch,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-004,authority,site_representative,Name role and contact for responsible site representative,Signed site record,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-005,authority,written_permission,Configuration and activities explicitly permitted,Signed site record with expiry and revocation terms,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-006,authority,code_and_permit_disposition,Applicable code permit inspection and licensed-work determination,Qualified reviewer and AHJ record where required,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-007,electrical,receptacle_identity,Exact receptacle ID type and condition,Qualified visual inspection and photograph,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-008,electrical,branch_voltage_frequency,Measured branch voltage and frequency,Calibrated meter record by qualified person,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-009,electrical,polarity_and_ground,Polarity and equipment-ground continuity result,Qualified test record with instrument ID,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-010,electrical,breaker_and_gfci,Branch breaker type rating and GFCI state,Panel/receptacle evidence and qualified test,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-011,electrical,fault_current_basis,Available fault-current basis or qualified conservative disposition,Qualified electrical record,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-012,electrical,cord_and_disconnect,Permitted cord route strain relief disconnect access and LOTO control,Site sketch and signed procedure review,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-013,mechanical,bench_properties,Bench dimensions material thickness load rating and condition,Site survey with photographs,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-014,mechanical,restraint_and_anchor,Permitted restraint/anchor method substrate edge distances and access,Site approval and qualified mechanical survey,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-015,space,footprint_and_clearance,Robot panel guard cable and operator footprint plus egress,Dimensioned site sketch,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-016,environment,ambient_range,Minimum and maximum temperature ventilation dust and moisture basis,Site record and measurement plan,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-017,safety,exclusion_zone,Physical boundary access control signage supervision and child exclusion,Site plan and witnessed inspection,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-018,safety,emergency_response,Emergency contact shutdown fire-response and incident rules,Written site procedure,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-019,equipment,external_adapters,Exact external AC/DC adapter identities labels cordsets and site acceptance,Receiving photos and qualified review,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
PREM-020,authorization,e2_run_authority,Exact configuration procedure people date/time stop conditions and signatures,Signed configuration-specific E2 authorization,SELECTION REQUIRED,,,,"PRELIMINARY - NOT APPROVED FOR CONNECTION POWERED TESTING MOTION OR ENERGIZATION"
