joint_id,subsystem,location,members,candidate_joint_hardware,fastener_set,joint_capacity_released,inspection,warning
J-MF-BFL-X,MAIN FRAME,B FL X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BFL-Y,MAIN FRAME,B FL Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BFR-X,MAIN FRAME,B FR X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BFR-Y,MAIN FRAME,B FR Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BRL-X,MAIN FRAME,B RL X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BRL-Y,MAIN FRAME,B RL Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BRR-X,MAIN FRAME,B RR X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-BRR-Y,MAIN FRAME,B RR Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TFL-X,MAIN FRAME,T FL X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TFL-Y,MAIN FRAME,T FL Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TFR-X,MAIN FRAME,T FR X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TFR-Y,MAIN FRAME,T FR Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TRL-X,MAIN FRAME,T RL X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TRL-Y,MAIN FRAME,T RL Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TRR-X,MAIN FRAME,T RR X-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-MF-TRR-Y,MAIN FRAME,T RR Y-PLANE,THREE-MEMBER CORNER; SEE PROFILE CUT LIST,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-TETHER-L,ZERO-CREDIT TETHER CROSSBAR,L,MF-TC TO TOP SIDE RAIL,1 x 80/20 40-4338,8 x 75-3422,NO,FULL SEATING; TORQUE MARK; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-TETHER-R,ZERO-CREDIT TETHER CROSSBAR,R,MF-TC TO TOP SIDE RAIL,1 x 80/20 40-4338,8 x 75-3422,NO,FULL SEATING; TORQUE MARK; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-L-OB,DOOR L,O B,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
