selection_id,item,missing_evidence,closure_evidence,state,work_authority,warning
SEL-01,FLOOR SUBSTRATE AND ANCHORS,SLAB MATERIAL/THICKNESS/REINFORCEMENT/EDGE DISTANCE; SITE JURISDICTION; ANCHOR LOADS,SITE SURVEY + QUALIFIED ANCHOR DESIGN,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-02,GUARD IMPACT LOAD AND POLYCARBONATE GRADE,ROBOT EFFECTIVE INERTIA/SPEED/CONTACT; SPAN/EDGE CONDITION; GRADE CERTIFICATE,ENERGY MODEL + PANEL/RETENTION ANALYSIS AND TEST,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-03,PELVIS PAD SYSTEM,"FORCE-STROKE, HARDNESS, TEMPERATURE/AGING, RETENTION, CONTACT PRESSURE",COUPON + ASSEMBLY TEST,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-04,CRADLE/FRAME JOINT CAPACITY,EXACT PRELOAD/TORQUE; FRICTION; SLIP/PRYING; RECEIVED HARDWARE,JOINT CALCULATION + PROOF,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-05,DOOR PROTECTIVE INTERLOCK,HAZARD-BASED SAFETY FUNCTION/PLr; DEVICE/ACTUATOR; DEFEAT RESISTANCE,SAFETY DESIGN + VALIDATION,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-06,SECONDARY TETHER SYSTEM,"SLACK, DYNAMIC LOAD, TERMINATIONS, ANCHORS, INSPECTION/LIFE",DYNAMIC ANALYSIS + QUALIFIED PROOF,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-07,PLATFORM MATERIAL/FASTENERS,"PLATE MATERIAL, FLATNESS, FASTENERS, FOOT FRICTION/RETENTION",DFM + STATIC/SLIP TEST,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-08,DOOR LOAD AND HINGE CONFIGURATION,"AS-BUILT MASS, OPERATOR/ABUSE LOAD, HINGE FASTENERS, SAG LIMIT",DOOR CALCULATION + CYCLE/PROOF TEST,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-09,FRAME RACK/TIP LOAD,"CELL MASS/COM, EXTERNAL FORCE/HEIGHT, ROBOT FAULT LOAD, FLOOR CONDITION",STRUCTURAL MODEL + SITE PROOF,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SEL-10,FASTENER TORQUE/LOCKING/INSPECTION,"CURRENT MANUFACTURER DATA, LUBRICATION, REUSE, MARKING, RETORQUE",QUALIFIED ASSEMBLY PROCEDURE,SELECTION REQUIRED,NONE,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
