member_id,subsystem,role,candidate_profile,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,cut_length_mm,quantity,end_preparation,joint_ids,cut_released,warning
MF-BXF,MAIN FRAME,BASE FRONT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,0,-480,20,1200,40,40,1200,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-BXR,MAIN FRAME,BASE REAR,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,0,480,20,1200,40,40,1200,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-BYL,MAIN FRAME,BASE LEFT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,-580,0,20,40,920,40,920,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-BYR,MAIN FRAME,BASE RIGHT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,580,0,20,40,920,40,920,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-UFL,MAIN FRAME,UPRIGHT FRONT LEFT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,-580,-480,700,40,40,1360,1360,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-UFR,MAIN FRAME,UPRIGHT FRONT RIGHT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,580,-480,700,40,40,1360,1360,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-URL,MAIN FRAME,UPRIGHT REAR LEFT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,-580,480,700,40,40,1360,1360,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-URR,MAIN FRAME,UPRIGHT REAR RIGHT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,580,480,700,40,40,1360,1360,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-TXF,MAIN FRAME,TOP FRONT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,0,-480,1380,1200,40,40,1200,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-TXR,MAIN FRAME,TOP REAR,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,0,480,1380,1200,40,40,1200,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-TYL,MAIN FRAME,TOP LEFT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,-580,0,1380,40,920,40,920,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-TYR,MAIN FRAME,TOP RIGHT,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,580,0,1380,40,920,40,920,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
MF-TC,MAIN FRAME,ZERO-CREDIT TETHER CROSSBAR,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,0,0,1360,1120,40,40,1120,1,SQUARE CUT,SEE FRAME-JOINT-REGISTER,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DR-L-VO,DOOR L,OUTER STILE,80/20 40-4040-Lite; 40 x 40 mm; 6063-T6,-532,-457,700,40,40,1280,1280,1,SQUARE CUT + ANCHOR COUNTERBORES,DOOR-ANCHOR JOINTS,NO - DFM/FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
