control_id,subject,minimum_evidence,state,warning
RA-001,Traceable response,"Official manufacturer-domain email, signed letter or support ticket with immutable identifier",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-002,Responder authority,"Responder name, role and application-engineering authority recorded",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-003,Exact product identity,Pilz 750104 and/or Phoenix 2967060 explicitly named,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-004,Exact topology,Attached P1.21 terminal/net excerpt acknowledged as the reviewed circuit,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-005,Exact load envelope,"24 V DC, 2.5 W nominal, 0.5 A for 5 ms maximum startup pulse and proposed cycle profile addressed",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-006,Question coverage,Every submitted question answered or explicitly declined; silence is not acceptance,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-007,Conditions and exclusions,"Temperature, supply, ramp, off-time, cycle, protection, wiring and lifecycle limits stated",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-008,Document control,"Referenced document number, revision and date captured",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-009,Permitted/prohibited disposition,"Written permitted, permitted-with-conditions or prohibited disposition recorded without inference",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-010,Conflict resolution,Any conflict between Pilz and Phoenix responses is resolved in writing,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-011,Qualified review,Qualified electrical and functional-safety reviewers accept the response for the exact configuration,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RA-012,Configuration archive,"Response, attachments, hashes, ticket metadata and disposition are included in a later accepted baseline",SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
