question_id,addressee,part,question,reason,sent,response_state,warning
PILZ-Q01,Pilz,PNOZ s4 750104,Is deliberate removal and restoration of A1 supply by external ordinary relay contacts permitted as a non-safety diagnostic inhibit when the two safety input channels remain direct and independent? State every constraint and identify any intended-use limitation.,This is the exact P1.21 architecture and cannot be inferred from the manual,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PILZ-Q02,Pilz,PNOZ s4 750104,"After A1 supply is removed, what voltage threshold and minimum off-time guarantee a complete internal reset for every supported temperature and tolerance condition?",The brownout/off-time test grid needs manufacturer limits,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PILZ-Q03,Pilz,PNOZ s4 750104,"With falling-edge monitored start selected, can restoring A1 while both input channels and the feedback loop are healthy ever close a safety output without a new valid falling edge at S34? Include power interruption, brownout and chatter cases.",Heartbeat restoration must not restore eligibility,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PILZ-Q04,Pilz,PNOZ s4 750104,"What A1 ramp-rate, residual-ripple, interruption, chatter, repetition-rate or minimum on-time limits apply to repeated supply gating?",The catalog pulse data do not define dynamic supply cycling,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PILZ-Q05,Pilz,PNOZ s4 750104,"Does this A1-gating use change any permissible safety category, PL/SIL calculation, diagnostic-coverage assumption, proof-test requirement or certificate condition for the PNOZ s4? If it is outside intended use, identify a supported architecture or product.",A qualified allocation cannot assume certification scope,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PILZ-Q06,Pilz,PNOZ s4 750104,"Specify required upstream branch protection, source characteristics, suppression and wiring constraints for an A1 circuit switched by dry contacts at 24 V DC.",Protection and coordination remain unresolved,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PILZ-Q07,Pilz,PNOZ s4 750104,"Provide or identify an authoritative power-up/power-down state diagram and timing limits for A1, S12, S22, S34 and safety outputs 13-14/23-24/33-34.",The physical procedure must record the correct state sequence,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHX-Q01,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,"Is one 11-14 NO contact suitable for repeatedly switching the A1 supply of Pilz PNOZ s4 750104 at 24 V DC, 2.5 W nominal and a published maximum 0.5 A/5 ms startup pulse? State the applicable load classification.",Paper margins do not establish application suitability,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHX-Q02,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,"For that exact electronic load, what electrical endurance or B10/B10d information applies as a function of switching rate, total cycles, ambient temperature and mounting orientation?",Mechanical life cannot substitute for electrical endurance,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHX-Q03,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,"Does the 5 V/10 mA minimum-load specification provide a contact-reliability basis for approximately 104 mA steady load after repeated 0.5 A inrush events, or is additional wetting/load conditioning required?",Contact reliability over life remains open,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHX-Q04,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,"Specify required branch protection, suppression and coordination for this switching duty, including any constraint created by the module's integrated input suppression.",Protection cannot be selected from current arithmetic alone,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHX-Q05,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,"Does using contacts from two separate modules in series to gate one PNOZ A1 circuit require any additional derating, minimum-current provision, spacing, common-supply or diagnostic consideration?",P1.21 uses two series contacts,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHX-Q06,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,"Identify failure-mode, contact-weld/stick, proof-test or reliability data that may be used in a non-safety diagnostic FMEA, while explicitly assigning no safety credit to the relay modules.",DF-01 common-cause and diagnostic evidence remain open,NOT SENT,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
