axis_id,module_assembly,bus_id,segment_position,actuator_family,axis_xyz_mm,axis_direction,power_trunk,power_loop,data_trunk,data_loop,physical_range_sweep,authority
L_HIP_YAW,HN-L01,RS-LLEG,1,XH540,"(62.500,0.000,410.000)","(0,0,1)",HN01_L_LEG_POWER,LOOP-L_HIP_YAW-PWR,HN01_L_LEG_DATA,LOOP-L_HIP_YAW-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_HIP_ROLL,HN-L01,RS-LLEG,2,XH540,"(62.500,0.000,390.000)","(0,1,0)",HN01_L_LEG_POWER,LOOP-L_HIP_ROLL-PWR,HN01_L_LEG_DATA,LOOP-L_HIP_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_HIP_PITCH,HN-L01,RS-LLEG,3,XH540,"(62.500,0.000,370.000)","(1,0,0)",HN01_L_LEG_POWER,LOOP-L_HIP_PITCH-PWR,HN01_L_LEG_DATA,LOOP-L_HIP_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_KNEE_PITCH,HN-L01,RS-LLEG,4,XH540,"(62.500,0.000,210.000)","(1,0,0)",HN01_L_LEG_POWER,LOOP-L_KNEE_PITCH-PWR,HN01_L_LEG_DATA,LOOP-L_KNEE_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ANKLE_PITCH,HN-F01,RS-LLEG,5,XM430,"(62.500,0.000,55.000)","(1,0,0)",HN01_L_LEG_POWER,LOOP-L_ANKLE_PITCH-PWR,HN01_L_LEG_DATA,LOOP-L_ANKLE_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ANKLE_ROLL,HN-F01,RS-LLEG,6,XM430,"(62.500,0.000,35.000)","(0,1,0)",HN01_L_LEG_POWER,LOOP-L_ANKLE_ROLL-PWR,HN01_L_LEG_DATA,LOOP-L_ANKLE_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_YAW,HN-L02,RS-RLEG,1,XH540,"(-62.500,0.000,410.000)","(0,0,1)",HN01_R_LEG_POWER,LOOP-R_HIP_YAW-PWR,HN01_R_LEG_DATA,LOOP-R_HIP_YAW-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_ROLL,HN-L02,RS-RLEG,2,XH540,"(-62.500,0.000,390.000)","(0,1,0)",HN01_R_LEG_POWER,LOOP-R_HIP_ROLL-PWR,HN01_R_LEG_DATA,LOOP-R_HIP_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_PITCH,HN-L02,RS-RLEG,3,XH540,"(-62.500,0.000,370.000)","(1,0,0)",HN01_R_LEG_POWER,LOOP-R_HIP_PITCH-PWR,HN01_R_LEG_DATA,LOOP-R_HIP_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_KNEE_PITCH,HN-L02,RS-RLEG,4,XH540,"(-62.500,0.000,210.000)","(1,0,0)",HN01_R_LEG_POWER,LOOP-R_KNEE_PITCH-PWR,HN01_R_LEG_DATA,LOOP-R_KNEE_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ANKLE_PITCH,HN-F02,RS-RLEG,5,XM430,"(-62.500,0.000,55.000)","(1,0,0)",HN01_R_LEG_POWER,LOOP-R_ANKLE_PITCH-PWR,HN01_R_LEG_DATA,LOOP-R_ANKLE_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ANKLE_ROLL,HN-F02,RS-RLEG,6,XM430,"(-62.500,0.000,35.000)","(0,1,0)",HN01_R_LEG_POWER,LOOP-R_ANKLE_ROLL-PWR,HN01_R_LEG_DATA,LOOP-R_ANKLE_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_SHOULDER_PITCH,HN-A01,RS-LARM,1,XM540,"(105.000,0.000,590.000)","(1,0,0)",HN01_L_ARM_POWER,LOOP-L_SHOULDER_PITCH-PWR,HN01_L_ARM_DATA,LOOP-L_SHOULDER_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
