bus_id,ordinal,axis_id,upstream_data_endpoint,input_connector,input_pin_map,individual_power_pair,outgoing_connector,outgoing_pin_map,successor_axis,termination_state,topology_state,authority
RS-LLEG,1,L_HIP_YAW,CB-RS-LLEG,J-ACT-L_HIP_YAW,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_HIP_YAW,J-OUT-L_HIP_YAW,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_HIP_ROLL,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LLEG,2,L_HIP_ROLL,J-OUT-L_HIP_YAW,J-ACT-L_HIP_ROLL,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_HIP_ROLL,J-OUT-L_HIP_ROLL,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_HIP_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LLEG,3,L_HIP_PITCH,J-OUT-L_HIP_ROLL,J-ACT-L_HIP_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_HIP_PITCH,J-OUT-L_HIP_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_KNEE_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LLEG,4,L_KNEE_PITCH,J-OUT-L_HIP_PITCH,J-ACT-L_KNEE_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_KNEE_PITCH,J-OUT-L_KNEE_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_ANKLE_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LLEG,5,L_ANKLE_PITCH,J-OUT-L_KNEE_PITCH,J-ACT-L_ANKLE_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_ANKLE_PITCH,J-OUT-L_ANKLE_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_ANKLE_ROLL,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LLEG,6,L_ANKLE_ROLL,J-OUT-L_ANKLE_PITCH,J-ACT-L_ANKLE_ROLL,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_ANKLE_ROLL,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RLEG,1,R_HIP_YAW,CB-RS-RLEG,J-ACT-R_HIP_YAW,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_HIP_YAW,J-OUT-R_HIP_YAW,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_HIP_ROLL,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RLEG,2,R_HIP_ROLL,J-OUT-R_HIP_YAW,J-ACT-R_HIP_ROLL,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_HIP_ROLL,J-OUT-R_HIP_ROLL,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_HIP_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RLEG,3,R_HIP_PITCH,J-OUT-R_HIP_ROLL,J-ACT-R_HIP_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_HIP_PITCH,J-OUT-R_HIP_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_KNEE_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RLEG,4,R_KNEE_PITCH,J-OUT-R_HIP_PITCH,J-ACT-R_KNEE_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_KNEE_PITCH,J-OUT-R_KNEE_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_ANKLE_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
