axis_id,power_loop,data_loop,joint_axis_xyz_mm,joint_axis_direction,commanded_range,minimum_bend_radius,slack_length,clamp_locations,flex_cycle_requirement,collision_and_pinch_sweep,state
L_HIP_YAW,LOOP-L_HIP_YAW-PWR,LOOP-L_HIP_YAW-DATA,"(62.500,0.000,410.000)","(0,0,1)",+/-30 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_HIP_ROLL,LOOP-L_HIP_ROLL-PWR,LOOP-L_HIP_ROLL-DATA,"(62.500,0.000,390.000)","(0,1,0)",+/-25 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_HIP_PITCH,LOOP-L_HIP_PITCH-PWR,LOOP-L_HIP_PITCH-DATA,"(62.500,0.000,370.000)","(1,0,0)",-35..+45 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_KNEE_PITCH,LOOP-L_KNEE_PITCH-PWR,LOOP-L_KNEE_PITCH-DATA,"(62.500,0.000,210.000)","(1,0,0)",0..120 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_ANKLE_PITCH,LOOP-L_ANKLE_PITCH-PWR,LOOP-L_ANKLE_PITCH-DATA,"(62.500,0.000,55.000)","(1,0,0)",-35..+30 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_ANKLE_ROLL,LOOP-L_ANKLE_ROLL-PWR,LOOP-L_ANKLE_ROLL-DATA,"(62.500,0.000,35.000)","(0,1,0)",+/-20 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_HIP_YAW,LOOP-R_HIP_YAW-PWR,LOOP-R_HIP_YAW-DATA,"(-62.500,0.000,410.000)","(0,0,1)",+/-30 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_HIP_ROLL,LOOP-R_HIP_ROLL-PWR,LOOP-R_HIP_ROLL-DATA,"(-62.500,0.000,390.000)","(0,1,0)",+/-25 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_HIP_PITCH,LOOP-R_HIP_PITCH-PWR,LOOP-R_HIP_PITCH-DATA,"(-62.500,0.000,370.000)","(1,0,0)",-35..+45 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_KNEE_PITCH,LOOP-R_KNEE_PITCH-PWR,LOOP-R_KNEE_PITCH-DATA,"(-62.500,0.000,210.000)","(1,0,0)",0..120 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
