connector_id,contact,axis_id,signal,bus_net,service,wire_core,physical_pin_state,end_to_end_test
J-WPS-RS-LARM-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-LARM-IN,2,BOARD INPUT,ACT_MAIN_SAFE_12V,ACT_MAIN_SAFE_12V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-LLEG-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-LLEG-IN,2,BOARD INPUT,ACT_MAIN_SAFE_12V,ACT_MAIN_SAFE_12V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-RARM-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-RARM-IN,2,BOARD INPUT,ACT_MAIN_SAFE_12V,ACT_MAIN_SAFE_12V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-RLEG-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-RLEG-IN,2,BOARD INPUT,ACT_MAIN_SAFE_12V,ACT_MAIN_SAFE_12V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-WAIST-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-WAIST-IN,2,BOARD INPUT,ACT_MAIN_SAFE_12V,ACT_MAIN_SAFE_12V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-TTL-HEAD-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-TTL-HEAD-IN,2,BOARD INPUT,TTL_HEAD_SAFE_9V,TTL_HEAD_SAFE_9V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-TTL-LDIST-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-TTL-LDIST-IN,2,BOARD INPUT,TTL_LDIST_SAFE_9V,TTL_LDIST_SAFE_9V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-TTL-RDIST-IN,1,BOARD INPUT,ACT_0V_CONTROLLED,ACT_0V_CONTROLLED,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-TTL-RDIST-IN,2,BOARD INPUT,TTL_RDIST_SAFE_9V,TTL_RDIST_SAFE_9V,ACTUATOR POWER TRUNK,SELECTION REQUIRED,LOGICAL CONTACT FUNCTION DEFINED; PHYSICAL CONTACT SELECTION REQUIRED,NOT EXECUTED
J-WPS-RS-LLEG-OUT-1,1,L_HIP_YAW,ACT_0V_CONTROLLED,RS-LLEG_RET,POWER RETURN,CORE-L_HIP_YAW-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-1,2,L_HIP_YAW,BRANCH_1_VPOS,L_HIP_YAW_VDD,ACTUATOR POWER,CORE-L_HIP_YAW-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-1,1,L_HIP_YAW,ACT_0V_CONTROLLED,WPS-RS-LLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-1,2,L_HIP_YAW,CH1_EN,WPS-RS-LLEG_CH1_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-1,3,L_HIP_YAW,CH1_PG,WPS-RS-LLEG_CH1_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
