connector_id,location,function,candidate_housing,mating_part,contact_order_code,contact_count,keying_retention_strain_relief,source,source_date,selection_state
J-PDU-ARMS-IN,PDU-ARMS,CONTROLLED 12 V BOARD INPUT,Phoenix Contact MKDS 5/2-9.5 board header 1714971,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD MATING HARDWARE/CONDUCTOR/RETENTION OPEN
J-PDU-CORE-IN,PDU-CORE,CONTROLLED 12 V BOARD INPUT,Phoenix Contact MKDS 5/2-9.5 board header 1714971,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD MATING HARDWARE/CONDUCTOR/RETENTION OPEN
J-PDU-DISTAL-IN,PDU-DISTAL,CONTROLLED 12 V BOARD INPUT,Phoenix Contact MKDS 5/2-9.5 board header 1714971,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD MATING HARDWARE/CONDUCTOR/RETENTION OPEN
J-PDU-LLEG-IN,PDU-LLEG,CONTROLLED 12 V BOARD INPUT,Phoenix Contact MKDS 5/2-9.5 board header 1714971,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD MATING HARDWARE/CONDUCTOR/RETENTION OPEN
J-PDU-RLEG-IN,PDU-RLEG,CONTROLLED 12 V BOARD INPUT,Phoenix Contact MKDS 5/2-9.5 board header 1714971,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-95-1714971,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD MATING HARDWARE/CONDUCTOR/RETENTION OPEN
J-PDU-LLEG-OUT-1,PDU-LLEG,CHANNEL 1 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-LLEG-CTL-1,PDU-LLEG,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-LLEG-OUT-2,PDU-LLEG,CHANNEL 2 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-LLEG-CTL-2,PDU-LLEG,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-LLEG-OUT-3,PDU-LLEG,CHANNEL 3 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-LLEG-CTL-3,PDU-LLEG,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-LLEG-OUT-4,PDU-LLEG,CHANNEL 4 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-LLEG-CTL-4,PDU-LLEG,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-LLEG-OUT-5,PDU-LLEG,CHANNEL 5 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-LLEG-CTL-5,PDU-LLEG,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-LLEG-OUT-6,PDU-LLEG,CHANNEL 6 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-LLEG-CTL-6,PDU-LLEG,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-RLEG-OUT-1,PDU-RLEG,CHANNEL 1 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-RLEG-CTL-1,PDU-RLEG,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-RLEG-OUT-2,PDU-RLEG,CHANNEL 2 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-RLEG-CTL-2,PDU-RLEG,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-RLEG-OUT-3,PDU-RLEG,CHANNEL 3 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-RLEG-CTL-3,PDU-RLEG,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-RLEG-OUT-4,PDU-RLEG,CHANNEL 4 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-RLEG-CTL-4,PDU-RLEG,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-RLEG-OUT-5,PDU-RLEG,CHANNEL 5 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
J-PDU-RLEG-CTL-5,PDU-RLEG,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,JST BM03B-GHS-TBT board header,JST GHR-03V-S; contact/conductor selection open,SELECTION REQUIRED,3,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; CONTROL HARNESS VALIDATION OPEN
J-PDU-RLEG-OUT-6,PDU-RLEG,CHANNEL 6 ACTUATOR OUTPUT,JST B2P-VH board header,JST VHR-2N; contact/conductor selection open,SELECTION REQUIRED,2,SELECTION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,accessed 2026-08-15,BOARD HEADER PRESENT; FIELD ASSEMBLY VALIDATION OPEN
