link_id,bus_id,axis_id,ordinal,protocol,from_endpoint,to_endpoint,next_endpoint,data_conductors,reference_path,controller_boundary,actuator_boundary,vdd_isolation_rule,custom_breakout_or_depinning,continuity_no_backfeed_test,authority
LINK-L_HIP_YAW,RS-LLEG,L_HIP_YAW,1,RS-485 HALF-DUPLEX,CB-RS-LLEG,J-ACT-L_HIP_YAW,J-OUT-L_HIP_YAW,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_HIP_ROLL,RS-LLEG,L_HIP_ROLL,2,RS-485 HALF-DUPLEX,J-OUT-L_HIP_YAW,J-ACT-L_HIP_ROLL,J-OUT-L_HIP_ROLL,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_HIP_PITCH,RS-LLEG,L_HIP_PITCH,3,RS-485 HALF-DUPLEX,J-OUT-L_HIP_ROLL,J-ACT-L_HIP_PITCH,J-OUT-L_HIP_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_KNEE_PITCH,RS-LLEG,L_KNEE_PITCH,4,RS-485 HALF-DUPLEX,J-OUT-L_HIP_PITCH,J-ACT-L_KNEE_PITCH,J-OUT-L_KNEE_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_ANKLE_PITCH,RS-LLEG,L_ANKLE_PITCH,5,RS-485 HALF-DUPLEX,J-OUT-L_KNEE_PITCH,J-ACT-L_ANKLE_PITCH,J-OUT-L_ANKLE_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_ANKLE_ROLL,RS-LLEG,L_ANKLE_ROLL,6,RS-485 HALF-DUPLEX,J-OUT-L_ANKLE_PITCH,J-ACT-L_ANKLE_ROLL,NO OUTGOING CABLE - FAR END,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_HIP_YAW,RS-RLEG,R_HIP_YAW,1,RS-485 HALF-DUPLEX,CB-RS-RLEG,J-ACT-R_HIP_YAW,J-OUT-R_HIP_YAW,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_HIP_ROLL,RS-RLEG,R_HIP_ROLL,2,RS-485 HALF-DUPLEX,J-OUT-R_HIP_YAW,J-ACT-R_HIP_ROLL,J-OUT-R_HIP_ROLL,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_HIP_PITCH,RS-RLEG,R_HIP_PITCH,3,RS-485 HALF-DUPLEX,J-OUT-R_HIP_ROLL,J-ACT-R_HIP_PITCH,J-OUT-R_HIP_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_KNEE_PITCH,RS-RLEG,R_KNEE_PITCH,4,RS-485 HALF-DUPLEX,J-OUT-R_HIP_PITCH,J-ACT-R_KNEE_PITCH,J-OUT-R_KNEE_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
