point_id,segment_id,sequence,x_mm,y_mm,z_mm,datum_basis,tolerance
HN01_TORSO_POWER_SPINE-P01,HN01_TORSO_POWER_SPINE,1,18.000,18.000,405.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_TORSO_POWER_SPINE-P02,HN01_TORSO_POWER_SPINE,2,18.000,18.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_TORSO_DATA_SPINE-P01,HN01_TORSO_DATA_SPINE,1,-18.000,-18.000,405.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_TORSO_DATA_SPINE-P02,HN01_TORSO_DATA_SPINE,2,-18.000,-18.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_HEAD_BRANCH-P01,HN01_HEAD_BRANCH,1,-18.000,-18.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_HEAD_BRANCH-P02,HN01_HEAD_BRANCH,2,0.000,-12.000,700.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_HEAD_POWER_BRANCH-P01,HN01_HEAD_POWER_BRANCH,1,18.000,18.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_HEAD_POWER_BRANCH-P02,HN01_HEAD_POWER_BRANCH,2,0.000,12.000,700.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_LEG_POWER-P01,HN01_L_LEG_POWER,1,74.500,15.000,410.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_LEG_POWER-P02,HN01_L_LEG_POWER,2,74.500,15.000,35.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_LEG_DATA-P01,HN01_L_LEG_DATA,1,50.500,-15.000,410.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_LEG_DATA-P02,HN01_L_LEG_DATA,2,50.500,-15.000,35.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_ARM_POWER-P01,HN01_L_ARM_POWER,1,77.000,15.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_ARM_POWER-P02,HN01_L_ARM_POWER,2,133.000,15.000,300.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_ARM_DATA-P01,HN01_L_ARM_DATA,1,85.000,-15.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_L_ARM_DATA-P02,HN01_L_ARM_DATA,2,133.000,-15.000,300.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_LEG_POWER-P01,HN01_R_LEG_POWER,1,-74.500,15.000,410.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_LEG_POWER-P02,HN01_R_LEG_POWER,2,-74.500,15.000,35.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_LEG_DATA-P01,HN01_R_LEG_DATA,1,-50.500,-15.000,410.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_LEG_DATA-P02,HN01_R_LEG_DATA,2,-50.500,-15.000,35.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_ARM_POWER-P01,HN01_R_ARM_POWER,1,-77.000,15.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_ARM_POWER-P02,HN01_R_ARM_POWER,2,-133.000,15.000,300.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_ARM_DATA-P01,HN01_R_ARM_DATA,1,-85.000,-15.000,575.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
HN01_R_ARM_DATA-P02,HN01_R_ARM_DATA,2,-133.000,-15.000,300.000,WHOLE-BODY RESERVED CORRIDOR CENTERLINE,SELECTION REQUIRED
LOOP-L_HIP_YAW-PWR-P01,LOOP-L_HIP_YAW-PWR,1,66.500,-14.000,410.000,BRANCH L_HIP_YAW OFFSET FROM CROSSED JOINT L_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_YAW-PWR-P02,LOOP-L_HIP_YAW-PWR,2,66.500,14.000,410.000,BRANCH L_HIP_YAW OFFSET FROM CROSSED JOINT L_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_YAW-DATA-P01,LOOP-L_HIP_YAW-DATA,1,57.500,-10.000,410.000,OFFSET FROM L_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_YAW-DATA-P02,LOOP-L_HIP_YAW-DATA,2,57.500,10.000,410.000,OFFSET FROM L_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR-P01,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR,1,69.700,-14.000,410.000,BRANCH L_HIP_ROLL OFFSET FROM CROSSED JOINT L_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR-P02,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR,2,69.700,14.000,410.000,BRANCH L_HIP_ROLL OFFSET FROM CROSSED JOINT L_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_ROLL-PWR-P01,LOOP-L_HIP_ROLL-PWR,1,66.500,-14.000,390.000,BRANCH L_HIP_ROLL OFFSET FROM CROSSED JOINT L_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_ROLL-PWR-P02,LOOP-L_HIP_ROLL-PWR,2,66.500,14.000,390.000,BRANCH L_HIP_ROLL OFFSET FROM CROSSED JOINT L_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_ROLL-DATA-P01,LOOP-L_HIP_ROLL-DATA,1,57.500,-10.000,390.000,OFFSET FROM L_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_HIP_ROLL-DATA-P02,LOOP-L_HIP_ROLL-DATA,2,57.500,10.000,390.000,OFFSET FROM L_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
