circuit,bus_branch,endpoint_current_a,normal_rms_current_a,fault_current_a,length_mm,round_trip_planning_length_mm,length_basis,ambient_c,bundle_count,duty_cycle,inrush,connector_limit_a,conductor_selection,calculation_state
PWR-L_HIP_YAW,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,145.546,291.091,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_HIP_ROLL,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,125.862,251.724,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_HIP_PITCH,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,106.339,212.678,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_KNEE_PITCH,RS-LLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,114.122,228.244,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_ANKLE_PITCH,RS-LLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,267.754,535.508,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_ANKLE_ROLL,RS-LLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,287.696,575.392,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_HIP_YAW,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,145.546,291.091,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_HIP_ROLL,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,125.862,251.724,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_HIP_PITCH,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,106.339,212.678,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_KNEE_PITCH,RS-RLEG,4.90,SELECTION REQUIRED,SELECTION REQUIRED,114.122,228.244,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_ANKLE_PITCH,RS-RLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,267.754,535.508,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_ANKLE_ROLL,RS-RLEG,2.30,SELECTION REQUIRED,SELECTION REQUIRED,287.696,575.392,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_SHOULDER_PITCH,RS-LARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,181.786,363.571,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_SHOULDER_ROLL,RS-LARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,181.786,363.571,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-L_ELBOW_PITCH,RS-LARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,172.741,345.482,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_SHOULDER_PITCH,RS-RARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,181.786,363.571,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_SHOULDER_ROLL,RS-RARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,181.786,363.571,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
PWR-R_ELBOW_PITCH,RS-RARM,2.30,SELECTION REQUIRED,SELECTION REQUIRED,172.741,345.482,GEOMETRY-DERIVED PLANNING LENGTH ONLY; CUT LENGTH AND SLACK OPEN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,JST EH CATALOG 3 A BOUNDARY; ACTUATOR ENDPOINT CONFLICT OPEN,SELECTION REQUIRED,PARTIAL - LENGTH PRESENT; RMS/FAULT/AMBIENT/BUNDLING/DUTY/INRUSH STILL REQUIRED
