item_id,unpowered_no_drill_action,required_record,execution_state,result,operator,reviewer,evidence_uri,warning
MET-01,Record enclosure and panel manufacturer/part/lot/serial labels,photo plus transcription,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-02,"Measure panel width, height, thickness, flange and installed rear gap",calibrated dimensional record,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-03,"Record each carrier board revision/serial and measure outline, thickness, hole diameters and hole centers",twelve-hole measurement record,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-04,"Measure all standoff lengths, diameters and thread depths by received lot",lot sample record,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-05,"Measure screw length, head diameter and head height by received lot",lot sample record,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-06,Place a full-scale center-only overlay on the unmodified panel,scale-bearing photo; no center punch,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-07,Place nonconductive board envelopes and mounting-stack gauges,front/rear photos; no drilling or adhesive,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-08,Mate exact connectors and sweep actual conductors/service loops,sweep photos and minimum clearances,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-09,Close the empty enclosure around nonconductive envelopes and gauges,cover and rear-clearance photos,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
MET-10,Reconcile measurements to this package and record every deviation,signed discrepancy register,NOT EXECUTED,OPEN,,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
