carrier_reference,hole_reference,board_relative_x_mm,board_relative_y_mm,candidate_panel_center_x_mm,candidate_panel_center_y_mm,board_hole,panel_hole,state,warning
LIM1,MH1,5.0,5.0,69.0,544.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM1,MH2,95.0,5.0,159.0,544.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM1,MH3,5.0,55.0,69.0,594.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM1,MH4,95.0,55.0,159.0,594.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH1,5.0,5.0,179.0,544.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH2,95.0,5.0,269.0,544.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH3,5.0,55.0,179.0,594.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM2,MH4,95.0,55.0,269.0,594.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH1,5.0,5.0,69.0,614.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH2,95.0,5.0,159.0,614.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH3,5.0,55.0,69.0,664.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
LIM3,MH4,95.0,55.0,159.0,664.6,3.2 mm NPTH,SELECTION REQUIRED,CENTER CANDIDATE - DO NOT DRILL,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
