page,title,native_sheet_path,native_sheet_sha256,svg_path,svg_sha256,svg_bytes,width,height,viewbox,automated_export_structure,internal_visual_review,qualified_review,warning
0,Project hierarchy and sheet index,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/project-button-v3-p1.18-panel-topology-candidate.kicad_sch,D13B0A1E210038C42A544816DD0961851AEBF8EF953632748107F24FB3700313,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate.svg,1DBAB49E44972EA1D4DFB1BA45B6354219A35F02B1F62B37EE82839D695A82EF,760579,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1,External listed sources and DC boundaries,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/01_external_sources.kicad_sch,10A3C01F6146F42BE6E52FF34E9EBD340BB6EBBFA007BE8A944B141322CE31EA,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-01 External listed sources and DC boundaries.svg,DF6FD4BDF59D633E078149C1EA1520AE1D413993159B2B76BAA6667DF4F6A8D4,1452768,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,Dual-channel E-stop and RESET eligibility,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/02_estop_eligibility.kicad_sch,69695288BD82EED0F6FE692BA4516FFEC9F63DFE1FEC3DE24E8FF49D974AA106,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-02 Dual-channel E-stop and RESET eligibility.svg,5AC85A2B68619018C5E9D21A2EFE191EA88421F31E67B3A7B24178A92565A265,1091828,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,Distinct ARM and watchdog-gated SR1 supply,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/03_arm_watchdog_eligibility.kicad_sch,B234983EAC0A4065AED63E43D15B11F2A53E798C2A1475E68805BDBD9A2A11CD,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-03 Distinct ARM and watchdog-gated SR1 supply.svg,A8573CF0E5CC8CEB7A87E7EC83DA37CECB4F16FA5A7CE177F6747A991BB973CE,1134896,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,"Contactor coils, mirror contacts and EDM",electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/04_contactor_edm.kicad_sch,B1E61C95D6FEE40D9EF8CB9B07079B13CCA71503CFCFD1464B7AC16F25A1FF18,"electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-04 Contactor coils, mirror contacts and EDM.svg",1FF8E38342336E6FE49C9E317125201A782EE549483D30170AA8DF84777BC673,904244,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,Redundant actuator-power interruption,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/05_actuator_interruption.kicad_sch,78F573544E90F0645E7E263D9B1C19D6CAAAF1C86F79DCA5C1B77346420A8C8C,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-05 Redundant actuator-power interruption.svg,9EB8AD77E04BA04C14570C1C182193F845B8A79A38A083D0A9FFAE813D50E7EE,751157,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,Protected actuator branches and current-limiter carriers,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/06_branches_and_limiters.kicad_sch,27DDEFAAF423AF3D6750E067F0EE9C79378D9D631AC9A58AE8EFB7F8F3A8504B,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-06 Protected actuator branches and current-limiter carriers.svg,0EA45C9D22F5A18BCE34AC49B5E14B0019D4C1EDE71C861F344BDE53C91BCC1F,882233,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,"Independent watchdog power, controller and drivers",electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/07_watchdog_control.kicad_sch,F911456A842071B0076FB55192AD72ECD3EA7F4ECEA1024DA1A4F2D7914432E0,"electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-07 Independent watchdog power, controller and drivers.svg",B9237EAC586A8CAA38815F1B97D07C328AC42BB259451DCB28C09CDB8A31812E,1789373,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,Calculated dual-channel 24 V watchdog feedback,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/08_watchdog_feedback_interface.kicad_sch,CD79943E64D3E94F038308DF1AD88DF872554DCE0CC68EA955E82CACE2310F33,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-08 Calculated dual-channel 24 V watchdog feedback.svg,A6F82B792C705157A7E718C7A0015B7D2E2D2AEEEA9400AAB66D622AF159D1C2,1763473,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,Compute and control terminals,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/09_compute_and_control_terminals.kicad_sch,31D3D80869394B3F4B6674DFFB68A3E9EBBCD53E30C33147D8412D05C7A8E6B9,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-09 Compute and control terminals.svg,CA808C10ADA87582A46F98E2D83D1444E12715D3E640A7312FD7F80FF43C0EC0,831576,419.9890mm,297.0022mm,0.0000 0.0000 419.9890 297.0022,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
