item_id,role,bound_identifier,closure_class,physical_evidence,procurement_released,warning
BOM-035,integrated injection function,DXL-STAR-P0.2-CARRIER-CANDIDATE,integrated_candidate,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-051,actuator star PCB,DXL-STAR-P0.2-CARRIER-CANDIDATE / HR-V0-DXL-STAR-MFG-P0.2,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-087,three limiter carrier PCBAs,HR-V0-DXL-PROT-CARRIER-P0.3,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-088,three carrier input harnesses,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2,design_required,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-089,three carrier output harnesses,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2,design_required,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-090,twelve carrier standoffs,HR-V0-DXL-CARRIER-MOUNT-IF-P0.2,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-091,twenty-four carrier screws,HR-V0-DXL-CARRIER-MOUNT-IF-P0.2,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-027,five custom metal arm parts,HR-V0-MECH-BOM-BIND-P0.3 / HR-V0-ARM-ARCH-P0.8-DWG-INTEGRATED-CANDIDATE,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-083,two 500 mm DIN-rail stock candidates,Phoenix Contact 1207648 / DR1-DR5 stock allocation,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-084,one 2000 mm wire-duct stock candidate,Phoenix Contact 3240189 / WD1-WD4 stock allocation,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-085,eight rail end-bracket candidates,Phoenix Contact 3022218,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-092,XD24/XD0 distribution blocks,Phoenix Contact 3273114 x1 / 3273112 x1,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-093,XN1/XN2/XN3 junction terminals,Phoenix Contact 3209549 x3,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-094,junction group end-cover candidate,Phoenix Contact 3030488 x1,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-095,remaining node accessories,SELECTION REQUIRED,selection_required,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-096,separate P1.21 top routing duct body and cover candidate,Phoenix Contact CD 25X25 item 3240187; application quantity 1; manufacturer MOQ/pack 24,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-097,P1.21 WD5/WD2 stationary control-conductor candidate,Belden 3057 BL005; blue 16 AWG; 100 ft reel; application allocation seven conductors,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
