contact_map_id,assembly_id,bus_id,from_connector,from_contact,to_connector,to_contact,signal,required_population,termination_candidate,topology_rule,inspection_result,execution_state,authority,warning
CFA-RS-LLEG-C01,CFA-RS-LLEG,RS-LLEG,J101,1,RB0-REF-RS-LLEG,SELECTION REQUIRED,RS-LLEG_RET,POPULATED,SPHD-001T-P0.5 AT PA; RB0 TERMINAL SELECTION REQUIRED,UNIQUE FIELD-REFERENCE LEG; NO ACTUATOR PIN-1 CONNECTION,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LLEG-C02,CFA-RS-LLEG,RS-LLEG,J101,2,J-ACT-L_HIP_YAW,3,RS-LLEG_DP,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA+ ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LLEG-C03,CFA-RS-LLEG,RS-LLEG,J101,3,J-ACT-L_HIP_YAW,4,RS-LLEG_DN,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA- ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LLEG-C04,CFA-RS-LLEG,RS-LLEG,PBR-L_HIP_YAW,RET,J-ACT-L_HIP_YAW,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LLEG-C05,CFA-RS-LLEG,RS-LLEG,PBR-L_HIP_YAW,VDD,J-ACT-L_HIP_YAW,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RLEG-C01,CFA-RS-RLEG,RS-RLEG,J102,1,RB0-REF-RS-RLEG,SELECTION REQUIRED,RS-RLEG_RET,POPULATED,SPHD-001T-P0.5 AT PA; RB0 TERMINAL SELECTION REQUIRED,UNIQUE FIELD-REFERENCE LEG; NO ACTUATOR PIN-1 CONNECTION,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RLEG-C02,CFA-RS-RLEG,RS-RLEG,J102,2,J-ACT-R_HIP_YAW,3,RS-RLEG_DP,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA+ ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RLEG-C03,CFA-RS-RLEG,RS-RLEG,J102,3,J-ACT-R_HIP_YAW,4,RS-RLEG_DN,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA- ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RLEG-C04,CFA-RS-RLEG,RS-RLEG,PBR-R_HIP_YAW,RET,J-ACT-R_HIP_YAW,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RLEG-C05,CFA-RS-RLEG,RS-RLEG,PBR-R_HIP_YAW,VDD,J-ACT-R_HIP_YAW,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
