hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
CFA-H01,"the RS-485 cable conductor size fits SPHD-001T-P0.5, but insulation O.D., shield breakout, crimp process and dynamic waveform are unvalidated","received cable measurements plus qualified crimp cross-sections/pull tests, shield termination and flex/waveform evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H02,"the TTL cable conductor size fits SPHD-002T-P0.5, but insulation O.D., crimp process and dynamic margins are unvalidated","received cable measurements plus qualified crimp cross-sections/pull tests, flex and logic-margin evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H03,JST PA board/header and harness fit is not physically proven,"received B02B/B03B-PASK-1 and PAP-02/03V-S fit article with cavity, boss, latch, clearance and retention inspection",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H04,"five RB0 star landing terminals, retention and installed lengths are unselected","exact PDU/RB0 hardware drawing, one-to-one landing map, route lengths and physical inspection",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H05,shield/bond construction is unresolved,reviewed one-end shield rule with EMC and fault evidence and no duplicate return path,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H06,"PA/EH crimp tools, crimp heights, pull limits and inspection criteria are unselected",manufacturer tooling/process data and qualified cross-section/pull/retention evidence,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H07,the eight planning lengths are not validated in the joined physical robot,"tolerance-aware installed routing, joint sweep, service slack, clamps and strain-relief evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H08,"RS-485 termination, baud, common-mode and error performance are unvalidated",five-bus waveform/error/fault testing with exact harnesses and actuator loads,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H09,TTL reference offset and logic margins are unvalidated,three-bus voltage/margin/error/fault testing with exact harnesses and branch currents,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-H10,zero carrier-first-axis assemblies have been built or reviewed,"completed serialized traveler, inspection/test register and signed qualified disposition",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
