record_id,case,commanded_speed_deg_s,software_limit_deg,metal_stop_deg,available_travel_deg,time_to_metal_stop_ms,additional_delay_or_travel,screen_result,release_effect,evidence_needed,warning
SB-001,J2 positive setup-speed geometric traversal,10,115,118,3,300,All sensing logic output-device rail-decay and mechanical coast terms remain unmeasured,BOUNDED ARITHMETIC ONLY,Does not release 10 deg/s or a 300 ms safety limit,"Exact speed; synchronized input/output/rail/position traces; uncertainty; qualified acceptance",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-002,J2 positive automatic-speed geometric traversal,30,115,118,3,100,All sensing logic output-device rail-decay and mechanical coast terms remain unmeasured,BOUNDED ARITHMETIC ONLY,Does not release 30 deg/s or a 100 ms safety limit,"Exact speed; synchronized input/output/rail/position traces; uncertainty; qualified acceptance",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-003,DF-01 heartbeat candidate detection at setup speed,10,115,118,3,300,300 ms detection alone corresponds to 3.000 deg before any downstream delay or coast,FAILS TO RESERVE DOWNSTREAM MARGIN,Confirms DF-01 has zero stopping-distance or safety credit,"Guard/hard-stop containment with DF-01 failed; measured diagnostic timing; downstream timing",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-004,DF-01 heartbeat candidate detection at automatic speed,30,115,118,3,100,300 ms detection alone corresponds to 9.000 deg and exceeds the 3.000 deg approach by 6.000 deg,EXCEEDS GEOMETRIC APPROACH,Confirms DF-01 has zero stopping-distance or safety credit,"Guard/hard-stop containment with DF-01 failed; measured diagnostic timing; downstream timing",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-005,K1/K2 published maximum opening-time component screen at setup speed,10,115,118,3,300,24 ms component datum corresponds to 0.240 deg before rail decay and mechanical coast,PARTIAL COMPONENT SCREEN ONLY,Does not establish total stopping time or loaded DC interruption suitability,"Received contactor timing; coil command; pole state; rail voltage; position; load/fault cases",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-006,K1/K2 published maximum opening-time component screen at automatic speed,30,115,118,3,100,24 ms component datum corresponds to 0.720 deg before rail decay and mechanical coast,PARTIAL COMPONENT SCREEN ONLY,Does not establish total stopping time or loaded DC interruption suitability,"Received contactor timing; coil command; pole state; rail voltage; position; load/fault cases",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-007,SF-01 total J2-positive response at setup speed,10,115,118,3,300,Credited-function response limit PLr architecture and achieved performance remain SELECTION REQUIRED,QUALIFIED ALLOCATION AND TEST REQUIRED,No safety-function timing claim exists,"ISO 12100 assessment; PLr/SIL allocation; exact hardware; measured statistical bound; signed validation",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-008,SF-01 total J2-positive response at automatic speed,30,115,118,3,100,Credited-function response limit PLr architecture and achieved performance remain SELECTION REQUIRED,QUALIFIED ALLOCATION AND TEST REQUIRED,No safety-function timing claim exists,"ISO 12100 assessment; PLr/SIL allocation; exact hardware; measured statistical bound; signed validation",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-009,J2 positive metal-stop to first nominal body contact,SELECTION REQUIRED,118,121.643289,3.643289,SELECTION REQUIRED,Impact deformation backlash tolerance and uncertainty remain unclosed,NOMINAL CAD SEPARATION ONLY,Does not release contact with the stop,"Bumper; load/contact analysis; FAI; measured angle; impact/rebound/fatigue proof; guard reconciliation",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-010,J1 negative region,SELECTION REQUIRED,-20,DESIGN REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,No independent positive stop exists,PROHIBITS MOTION RELEASE,No J1-negative motion credit,"Execute HSI-001..020; select topology; native CAD; analysis; FAI; physical stopping proof",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-011,J1 positive region,SELECTION REQUIRED,70,DESIGN REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,No independent positive stop exists,PROHIBITS MOTION RELEASE,No J1-positive motion credit,"Execute HSI-001..020; select topology; native CAD; analysis; FAI; physical stopping proof",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
SB-012,J2 negative region,SELECTION REQUIRED,15,DESIGN REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,No independent positive stop exists,PROHIBITS MOTION RELEASE,No J2-negative motion credit,"Execute HSI-001..020; select topology; native CAD; analysis; FAI; physical stopping proof",PRELIMINARY - NOT APPROVED FOR MOTION OR ENERGIZATION
