observation_id,software_semantic,provider_class,current_physical_source,current_terminal_or_net,active_semantic,current_disposition,evidence_needed,primary_source,warning
OBS-001,sr1_ready,positive panel status,Pilz PNOZ s4 SR1 semiconductor output,SR1:Y32 / SR1_STATUS / XT1-03,high means safety contacts closed,SELECTION REQUIRED - DO NOT CONNECT,"Exact H1 received current plus receiver worst-case current must remain within Y32 20 mA over voltage temperature tolerance and faults; transient protection and physical HIL",https://www.pilz.com/download/open/OM_PNOZ_s4_21396-EN-23.pdf,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-002,sra1_armed,positive panel status,Pilz PNOZ s4 SRA1 semiconductor output,SRA1:Y32 / SRA1_STATUS / XT1-04,high means safety contacts closed,SELECTION REQUIRED - DO NOT CONNECT,"Receiver input load transient protection wiring fault behavior and physical HIL",https://www.pilz.com/download/open/OM_PNOZ_s4_21396-EN-23.pdf,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-003,k1_feedback,positive panel status,Schneider LC1D25BD built-in NO auxiliary,K1:13-14 / K1_STATUS / XT1-05,high means NO auxiliary closed,SELECTION REQUIRED - DO NOT CONNECT,"At least 5 mA at at least 17 V at the contact; receiver load transient protection contact application wiring and physical HIL",https://iportal.se.com/Contents/docs/SQD-LC1D25BD.PDF,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-004,k2_feedback,positive panel status,Schneider LC1D25BD built-in NO auxiliary,K2:13-14 / K2_STATUS / XT1-06,high means NO auxiliary closed,SELECTION REQUIRED - DO NOT CONNECT,"At least 5 mA at at least 17 V at the contact; receiver load transient protection contact application wiring and physical HIL",https://iportal.se.com/Contents/docs/SQD-LC1D25BD.PDF,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-005,control_power,independent health provider,NONE,NONE,true only from selected supply-presence observation,SELECTION REQUIRED,"Exact source threshold hysteresis isolation protection startup and power-loss behavior",SELECTION REQUIRED,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-006,estop_healthy,independent health provider,NONE,NONE,true only from selected channel-health evidence not SR1 status alone,SELECTION REQUIRED,"Safety-requirements allocation exact diagnostic source independence fault behavior and qualified validation",SELECTION REQUIRED,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-007,watchdog_healthy,independent health provider,NONE,NONE,true only from selected external watchdog output-state evidence,SELECTION REQUIRED,"Exact watchdog observation source loading independence timing stuck-contact and power-loss evidence",SELECTION REQUIRED,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-008,edm_healthy,independent health provider,NONE,NONE,true only from a selected common-EDM-chain result plus individual corroboration,SELECTION REQUIRED,"Do not duplicate one series-chain node into independent evidence; exact semantics and fault-injection validation",SELECTION REQUIRED,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-009,compute_undervoltage,platform health provider,NONE,NONE,true only from selected Pi 5 platform mechanism,SELECTION REQUIRED,"Exact kernel firmware or external monitor interface threshold persistence version and HIL",https://www.raspberrypi.com/documentation/computers/raspberry-pi.html,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
OBS-010,bus_healthy,software-derived runtime provider,DYNAMIXEL transport and configured readback,software runtime boundary,true only while exact read/configure/write/readback operations succeed,SOURCE CANDIDATE - PHYSICAL HIL REQUIRED,"Received bus hardware target timing fault injection topology termination shielding and recovery evidence",https://emanual.robotis.com/docs/en/dxl/protocol2/,PRELIMINARY - NOT APPROVED FOR CONNECTION MOTION OR ENERGIZATION
