control_id,control,current_state,source_evidence,remaining_evidence,warning
RTE-001,exact runtime entrypoint,CONTROLLED SOURCE,hash-bound runtime_entrypoint.py and target path,target installation hash and clean-image reproduction,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-002,complete proposed overlay,CONTROLLED SOURCE,19 repository source-to-target mappings,offline image construction ownership and mode readback,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-003,pure-file preflight,FAIL CLOSED,24 current holds and exit 78,executed target missing malformed and changed-input evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-004,heartbeat startup and shutdown,MODEL TESTED,disallowed before bus startup and on all modeled exceptions,selected GPIO implementation waveform dropout and HIL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-005,torque-off bus startup,MODEL TESTED,connect/configure before motion authority plus torque/current zero invariant,received device packets timing and fault injection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-006,same-file supervisor and kinematics,MODEL TESTED,Supervisor.from_json and exact model hash refusal,accepted configuration hashes and target readback,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-007,boot-unique session binding,CONTROLLED SOURCE,/proc boot ID path and strict session parser,target OS behavior reboot replay and rollback evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-008,runtime cycle and sample lateness,SELECTION REQUIRED,1 through 50 ms source envelope,measured target scheduling jitter selected limit and acceptance,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-009,GPIO hardware-observation backend,SELECTION REQUIRED,dependency-injected HardwareIO protocol,exact package API permissions startup state level and waveform HIL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-010,authenticated command source,SELECTION REQUIRED,dependency-injected CommandSource protocol,transport authentication authorization replay parser and malformed-input tests,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-011,stable actuator serial device,SELECTION REQUIRED,host and actuator configuration parity check,received U2D2 identity udev permissions unplug and no-backfeed evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-012,target runtime and HIL,NOT EXECUTED,72 firmware unit tests and 8 host tests,installed image raw traces timing power loss rollback and physical fault injection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-013,physical actuator motion,NOT AUTHORIZED,repository configuration refuses runtime construction,separate guarded procedure complete machine evidence and work authorization,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTE-014,qualified release decisions,OPEN,zero functional-safety credit boundary,signed controls electrical test configuration safety and program dispositions,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
