hold_id,scope,current_state,evidence_required,owner_role,warning
RBH-001,libgpiod distribution and version,SELECTION REQUIRED,exact target distribution version provenance lock and API compatibility,controls_engineer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-002,GPIO chip identity,SELECTION REQUIRED,stable target chip identity ownership and boot enumeration evidence,controls_engineer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-003,heartbeat line and timing,SELECTION REQUIRED,exact line active level period edge-lateness bound waveform tolerance and HIL,controls_engineer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-004,nine physical observation inputs,SELECTION REQUIRED,qualified connected circuit with exact terminals isolation loading protection cables GPIO lines and polarities,electrical_engineer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-005,observation noninterference,OPEN,fault analysis showing no observation fault defeats or backfeeds the physical safety chain,functional_safety_reviewer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-006,command sender identity,SELECTION REQUIRED,exact service UID GID producer executable protocol and privilege boundary,security_reviewer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-007,command load behavior,OPEN,queue loss flood malformed-input restart and producer-failure HIL with raw records,controls_test_owner,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-008,trajectory resource bounds,SELECTION REQUIRED,measured and reviewed sample-count duration deadline-slack cycle and lateness limits,controls_engineer,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-009,target installation and confinement,NOT EXECUTED,image build readback systemd sandbox device access and no-network tests,system_administrator,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RBH-010,physical HIL and fault injection,NOT AUTHORIZED,separate guarded plan authorization calibrated instruments raw waveforms faults and signed disposition,test_director,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
