sheet,reference,terminal,pin_name,net,status
01_power_and_absence_boundary.kicad_sch,PSFIX,+,SOURCE POSITIVE,FIX_24V_RAW,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,PSFIX,-,SOURCE RETURN,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,EDISC,1,SOURCE IN,FIX_24V_RAW,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,EDISC,2,ISOLATED OUT,SAFETY_24V_RAW,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,F24,IN,SOURCE +24 V,SAFETY_24V_RAW,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,F24,OUT,PROTECTED +24 V,SAFETY_24V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD24,LINE,PROTECTED FEED,SAFETY_24V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD24,01,SR1/SRA1 FEED,SAFETY_24V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD24,02,WATCHDOG FEED,SAFETY_24V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD24,03,PCB FEED,SAFETY_24V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD0,LINE,SOURCE RETURN,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD0,01,SR1/SRA1 RETURN,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD0,02,WATCHDOG RETURN,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,XD0,03,PCB RETURN,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
01_power_and_absence_boundary.kicad_sch,ABSENT,A,ACTUATOR SOURCE,PROHIBITED_ACTUATOR_SOURCE,MANDATORY ABSENCE / NOT EXECUTED
01_power_and_absence_boundary.kicad_sch,ABSENT,B,K1/K2 COILS AND POWER POLES,PROHIBITED_CONTACTORS,MANDATORY ABSENCE / NOT EXECUTED
01_power_and_absence_boundary.kicad_sch,ABSENT,C,ALL ACTUATORS,PROHIBITED_ACTUATORS,MANDATORY ABSENCE / NOT EXECUTED
01_power_and_absence_boundary.kicad_sch,ABSENT,D,MOTION COMPUTER,PROHIBITED_MOTION,MANDATORY ABSENCE / NOT EXECUTED
02_estop_and_eligibility_chain.kicad_sch,SR1,A1,24 V SUPPLY,SAFETY_24V,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,A2,0 V SUPPLY,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,S11,CH1 FEED,SR1_S11,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,S12,CH1 RETURN / START FEED,SR1_S12,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,S21,CH2 FEED,SR1_S21,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,S22,CH2 RETURN,SR1_S22,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,S34,START RETURN,SR1_START_RETURN,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,13,OUT1 IN,SRA1_S11,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,14,OUT1 OUT,SRA1_S12,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,23,OUT2 IN,SRA1_S21,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SR1,24,OUT2 OUT,SRA1_S22,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,S0,R-1,CH1 NC IN,SR1_S11,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,S0,R-2,CH1 NC OUT,SR1_S12,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,S0,L-1,CH2 NC IN,SR1_S21,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,S0,L-2,CH2 NC OUT,SR1_S22,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,S1,TBD-R1,RESET IN,SR1_S12,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,S1,TBD-R2,RESET OUT,SR1_START_RETURN,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SRA1,A1,WATCHDOG-GATED 24 V,SRA1_A1_WD_GATED,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SRA1,A2,0 V,SAFETY_0V,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SRA1,S11,CH1 FEED,SRA1_S11,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SRA1,S12,CH1 RETURN / ARM FEED,SRA1_S12,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SRA1,S21,CH2 FEED,SRA1_S21,FIXTURE CANDIDATE / VALIDATION OPEN
02_estop_and_eligibility_chain.kicad_sch,SRA1,S22,CH2 RETURN,SRA1_S22,FIXTURE CANDIDATE / VALIDATION OPEN
