wire_number,sheet,reference,terminal,pin_name,net
W1001,01_energy_precharge_conversion.kicad_sch,BATT1,LOG-POS,PACK POSITIVE,BATT_POS_RAW
W1002,01_energy_precharge_conversion.kicad_sch,BATT1,LOG-NEG,PACK NEGATIVE,BATT_0V_RAW
W1003,01_energy_precharge_conversion.kicad_sch,SD1,LOG-IN,RAW POSITIVE IN,BATT_POS_RAW
W1004,01_energy_precharge_conversion.kicad_sch,SD1,LOG-OUT,ISOLATED POSITIVE OUT,SD_POS_OUT
W1005,01_energy_precharge_conversion.kicad_sch,PRE1,LOG-IN,DISCONNECT OUTPUT,SD_POS_OUT
W1006,01_energy_precharge_conversion.kicad_sch,PRE1,LOG-CMD,PRECHARGE REQUEST,PRECHARGE_REQUEST
W1007,01_energy_precharge_conversion.kicad_sch,PRE1,LOG-MAIN,CONTACTOR INPUT,CONTACTOR_POS_IN
W1008,01_energy_precharge_conversion.kicad_sch,PRE1,LOG-OK,PRECHARGE STATUS,PRECHARGE_STATUS
W1009,01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-IN,INTERRUPTED 14.8 V,ACT_14V8_SAFE
W1010,01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-RET-IN,CONTROLLED RETURN,ACT_0V_CONTROLLED
W1011,01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-EN,CONVERTER ENABLE,SAFETY_PERMIT_HARDWIRED
W1012,01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-OUT,12 V ACTUATOR SOURCE,ACT_12V_SAFE
W1013,01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-RET-OUT,12 V RETURN,ACT_0V_CONTROLLED
W1014,01_energy_precharge_conversion.kicad_sch,CHG1,LOG-INT,CHARGER PRESENT INTERLOCK,CHARGER_INTERLOCK
W1015,01_energy_precharge_conversion.kicad_sch,RET1,LOG-BATT,PACK RETURN,BATT_0V_RAW
W1016,01_energy_precharge_conversion.kicad_sch,RET1,LOG-ACT,CONTROLLED ACTUATOR RETURN,ACT_0V_CONTROLLED
W2001,02_estop_permit_contactors.kicad_sch,S0,LOG-C1F,CHANNEL 1 FEED,ESTOP_CH1_FEED
W2002,02_estop_permit_contactors.kicad_sch,S0,LOG-C2F,CHANNEL 2 FEED,ESTOP_CH2_FEED
W2003,02_estop_permit_contactors.kicad_sch,S0,LOG-C1R,CHANNEL 1 RETURN,ESTOP_CH1_RETURN
W2004,02_estop_permit_contactors.kicad_sch,S0,LOG-C2R,CHANNEL 2 RETURN,ESTOP_CH2_RETURN
W2005,02_estop_permit_contactors.kicad_sch,S1,LOG-FEED,RESET FEED,RESET_FEED
W2006,02_estop_permit_contactors.kicad_sch,S1,LOG-RETURN,RESET RETURN,RESET_RETURN
W2007,02_estop_permit_contactors.kicad_sch,SR1,LOG-C1R,E-STOP CH1 RETURN,ESTOP_CH1_RETURN
W2008,02_estop_permit_contactors.kicad_sch,SR1,LOG-C2R,E-STOP CH2 RETURN,ESTOP_CH2_RETURN
W2009,02_estop_permit_contactors.kicad_sch,SR1,LOG-RR,RESET / EDM RETURN,RESET_RETURN
W2010,02_estop_permit_contactors.kicad_sch,SR1,LOG-EDM1,K1 MIRROR RETURN,EDM_K1
W2011,02_estop_permit_contactors.kicad_sch,SR1,LOG-EDM2,K2 MIRROR RETURN,EDM_K2
W2012,02_estop_permit_contactors.kicad_sch,SR1,LOG-CHG,CHARGER INHIBIT,CHARGER_INTERLOCK
W2013,02_estop_permit_contactors.kicad_sch,SR1,LOG-C1F,E-STOP CH1 FEED,ESTOP_CH1_FEED
W2014,02_estop_permit_contactors.kicad_sch,SR1,LOG-C2F,E-STOP CH2 FEED,ESTOP_CH2_FEED
W2015,02_estop_permit_contactors.kicad_sch,SR1,LOG-RF,RESET FEED,RESET_FEED
W2016,02_estop_permit_contactors.kicad_sch,SR1,LOG-PERMIT,HARDWIRED PERMIT,SAFETY_PERMIT_HARDWIRED
W2017,02_estop_permit_contactors.kicad_sch,K1,LOG-MIN,MAIN INPUT,CONTACTOR_POS_IN
W2018,02_estop_permit_contactors.kicad_sch,K1,LOG-COIL,COIL PERMIT,SAFETY_PERMIT_HARDWIRED
W2019,02_estop_permit_contactors.kicad_sch,K1,LOG-MOUT,MAIN OUTPUT,K1_POS_OUT
W2020,02_estop_permit_contactors.kicad_sch,K1,LOG-MIR,MIRROR / EDM,EDM_K1
W2021,02_estop_permit_contactors.kicad_sch,K2,LOG-MIN,MAIN INPUT,K1_POS_OUT
W2022,02_estop_permit_contactors.kicad_sch,K2,LOG-COIL,COIL PERMIT,SAFETY_PERMIT_HARDWIRED
W2023,02_estop_permit_contactors.kicad_sch,K2,LOG-MOUT,MAIN OUTPUT,ACT_14V8_SAFE
W2024,02_estop_permit_contactors.kicad_sch,K2,LOG-MIR,MIRROR / EDM,EDM_K2
W3001,03_compute_motion_watchdog.kicad_sch,CPU1,LOG-ACTION,STRUCTURED ACTION REQUEST,ACTION_REQUEST_AUTH
W3002,03_compute_motion_watchdog.kicad_sch,CPU1,LOG-AUDIO,AUDIO / VISION IPC,HMI_SENSOR_IPC
W3003,03_compute_motion_watchdog.kicad_sch,MCU1,LOG-PERMIT,HARDWIRED PERMIT INPUT,SAFETY_PERMIT_HARDWIRED
W3004,03_compute_motion_watchdog.kicad_sch,MCU1,LOG-ACTION,AUTHENTICATED ACTION REQUEST,ACTION_REQUEST_AUTH
W3005,03_compute_motion_watchdog.kicad_sch,MCU1,LOG-PSTAT,PRECHARGE STATUS,PRECHARGE_STATUS
W3006,03_compute_motion_watchdog.kicad_sch,MCU1,LOG-WD,WATCHDOG HEARTBEAT,MOTION_WD_HEARTBEAT
W3007,03_compute_motion_watchdog.kicad_sch,MCU1,LOG-PREQ,PRECHARGE REQUEST,PRECHARGE_REQUEST
W3008,03_compute_motion_watchdog.kicad_sch,WD1,LOG-HB,MOTION HEARTBEAT INPUT,MOTION_WD_HEARTBEAT
W3009,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LLEG,LOG-RS-LLEG-TX,UART TX,UART_RS-LLEG_TX
W3010,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LLEG,LOG-RS-LLEG-RX,UART RX,UART_RS-LLEG_RX
W3011,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LLEG,LOG-RS-LLEG-DIR,DIRECTION,UART_RS-LLEG_DIR
W3012,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RLEG,LOG-RS-RLEG-TX,UART TX,UART_RS-RLEG_TX
W3013,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RLEG,LOG-RS-RLEG-RX,UART RX,UART_RS-RLEG_RX
W3014,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RLEG,LOG-RS-RLEG-DIR,DIRECTION,UART_RS-RLEG_DIR
W3015,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LARM,LOG-RS-LARM-TX,UART TX,UART_RS-LARM_TX
W3016,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LARM,LOG-RS-LARM-RX,UART RX,UART_RS-LARM_RX
W3017,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LARM,LOG-RS-LARM-DIR,DIRECTION,UART_RS-LARM_DIR
W3018,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RARM,LOG-RS-RARM-TX,UART TX,UART_RS-RARM_TX
W3019,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RARM,LOG-RS-RARM-RX,UART RX,UART_RS-RARM_RX
W3020,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RARM,LOG-RS-RARM-DIR,DIRECTION,UART_RS-RARM_DIR
W3021,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_WAIST,LOG-RS-WAIST-TX,UART TX,UART_RS-WAIST_TX
W3022,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_WAIST,LOG-RS-WAIST-RX,UART RX,UART_RS-WAIST_RX
W3023,03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_WAIST,LOG-RS-WAIST-DIR,DIRECTION,UART_RS-WAIST_DIR
W3024,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_LDIST,LOG-TTL-LDIST-TX,UART TX,UART_TTL-LDIST_TX
W3025,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_LDIST,LOG-TTL-LDIST-RX,UART RX,UART_TTL-LDIST_RX
W3026,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_LDIST,LOG-TTL-LDIST-DIR,DIRECTION,UART_TTL-LDIST_DIR
W3027,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_RDIST,LOG-TTL-RDIST-TX,UART TX,UART_TTL-RDIST_TX
W3028,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_RDIST,LOG-TTL-RDIST-RX,UART RX,UART_TTL-RDIST_RX
W3029,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_RDIST,LOG-TTL-RDIST-DIR,DIRECTION,UART_TTL-RDIST_DIR
W3030,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_HEAD,LOG-TTL-HEAD-TX,UART TX,UART_TTL-HEAD_TX
W3031,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_HEAD,LOG-TTL-HEAD-RX,UART RX,UART_TTL-HEAD_RX
W3032,03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_HEAD,LOG-TTL-HEAD-DIR,DIRECTION,UART_TTL-HEAD_DIR
W4001,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,LOG-TX,UART TX,UART_RS-LLEG_TX
W4002,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,LOG-RX,UART RX,UART_RS-LLEG_RX
W4003,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,LOG-DIR,DIRECTION,UART_RS-LLEG_DIR
W4004,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,LOG-DP,FIELD DATA+,RS-LLEG_DP
W4005,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,LOG-DN,FIELD DATA-,RS-LLEG_DN
W4006,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,LOG-REF,FIELD REFERENCE,RS-LLEG_RET
W4007,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,LOG-TX,UART TX,UART_RS-RLEG_TX
W4008,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,LOG-RX,UART RX,UART_RS-RLEG_RX
W4009,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,LOG-DIR,DIRECTION,UART_RS-RLEG_DIR
W4010,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,LOG-DP,FIELD DATA+,RS-RLEG_DP
W4011,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,LOG-DN,FIELD DATA-,RS-RLEG_DN
W4012,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,LOG-REF,FIELD REFERENCE,RS-RLEG_RET
W4013,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,LOG-TX,UART TX,UART_RS-LARM_TX
W4014,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,LOG-RX,UART RX,UART_RS-LARM_RX
W4015,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,LOG-DIR,DIRECTION,UART_RS-LARM_DIR
W4016,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,LOG-DP,FIELD DATA+,RS-LARM_DP
W4017,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,LOG-DN,FIELD DATA-,RS-LARM_DN
W4018,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,LOG-REF,FIELD REFERENCE,RS-LARM_RET
W4019,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,LOG-TX,UART TX,UART_RS-RARM_TX
W4020,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,LOG-RX,UART RX,UART_RS-RARM_RX
W4021,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,LOG-DIR,DIRECTION,UART_RS-RARM_DIR
W4022,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,LOG-DP,FIELD DATA+,RS-RARM_DP
W4023,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,LOG-DN,FIELD DATA-,RS-RARM_DN
W4024,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,LOG-REF,FIELD REFERENCE,RS-RARM_RET
W4025,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,LOG-TX,UART TX,UART_RS-WAIST_TX
W4026,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,LOG-RX,UART RX,UART_RS-WAIST_RX
W4027,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,LOG-DIR,DIRECTION,UART_RS-WAIST_DIR
W4028,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,LOG-DP,FIELD DATA+,RS-WAIST_DP
W4029,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,LOG-DN,FIELD DATA-,RS-WAIST_DN
W4030,04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,LOG-REF,FIELD REFERENCE,RS-WAIST_RET
W4031,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_LDIST,LOG-TX,UART TX,UART_TTL-LDIST_TX
W4032,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_LDIST,LOG-RX,UART RX,UART_TTL-LDIST_RX
W4033,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_LDIST,LOG-DIR,DIRECTION,UART_TTL-LDIST_DIR
W4034,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_LDIST,LOG-DATA,FIELD HALF-DUPLEX DATA,TTL-LDIST_DATA
W4035,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_LDIST,LOG-REF,FIELD REFERENCE,TTL-LDIST_RET
W4036,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_RDIST,LOG-TX,UART TX,UART_TTL-RDIST_TX
W4037,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_RDIST,LOG-RX,UART RX,UART_TTL-RDIST_RX
W4038,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_RDIST,LOG-DIR,DIRECTION,UART_TTL-RDIST_DIR
W4039,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_RDIST,LOG-DATA,FIELD HALF-DUPLEX DATA,TTL-RDIST_DATA
W4040,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_RDIST,LOG-REF,FIELD REFERENCE,TTL-RDIST_RET
W4041,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_HEAD,LOG-TX,UART TX,UART_TTL-HEAD_TX
W4042,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_HEAD,LOG-RX,UART RX,UART_TTL-HEAD_RX
W4043,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_HEAD,LOG-DIR,DIRECTION,UART_TTL-HEAD_DIR
W4044,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_HEAD,LOG-DATA,FIELD HALF-DUPLEX DATA,TTL-HEAD_DATA
W4045,04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_HEAD,LOG-REF,FIELD REFERENCE,TTL-HEAD_RET
W5001,05_left_leg_rs485.kicad_sch,PORT_RS_LLEG,LOG-RET,DATA REFERENCE,RS-LLEG_RET
W5002,05_left_leg_rs485.kicad_sch,PORT_RS_LLEG,LOG-DP,DATA+,RS-LLEG_DP
W5003,05_left_leg_rs485.kicad_sch,PORT_RS_LLEG,LOG-DN,DATA-,RS-LLEG_DN
W5004,05_left_leg_rs485.kicad_sch,PBR_RS_LLEG,LOG-IN,INTERRUPTED SOURCE,ACT_14V8_SAFE
W5005,05_left_leg_rs485.kicad_sch,PBR_RS_LLEG,LOG-RET-IN,SOURCE RETURN,ACT_0V_CONTROLLED
W5006,05_left_leg_rs485.kicad_sch,PBR_RS_LLEG,LOG-OUT,PROTECTED VDD,RS-LLEG_VDD
W5007,05_left_leg_rs485.kicad_sch,PBR_RS_LLEG,LOG-RET-OUT,BRANCH RETURN,RS-LLEG_RET
W5008,05_left_leg_rs485.kicad_sch,AX_L_HIP_YAW,LOG-PWR,BRANCH VDD,RS-LLEG_VDD
W5009,05_left_leg_rs485.kicad_sch,AX_L_HIP_YAW,LOG-RET,BRANCH RETURN,RS-LLEG_RET
W5010,05_left_leg_rs485.kicad_sch,AX_L_HIP_YAW,LOG-DP,RS-485 DATA+,RS-LLEG_DP
W5011,05_left_leg_rs485.kicad_sch,AX_L_HIP_YAW,LOG-DN,RS-485 DATA-,RS-LLEG_DN
W5012,05_left_leg_rs485.kicad_sch,AX_L_HIP_ROLL,LOG-PWR,BRANCH VDD,RS-LLEG_VDD
W5013,05_left_leg_rs485.kicad_sch,AX_L_HIP_ROLL,LOG-RET,BRANCH RETURN,RS-LLEG_RET
W5014,05_left_leg_rs485.kicad_sch,AX_L_HIP_ROLL,LOG-DP,RS-485 DATA+,RS-LLEG_DP
W5015,05_left_leg_rs485.kicad_sch,AX_L_HIP_ROLL,LOG-DN,RS-485 DATA-,RS-LLEG_DN
W5016,05_left_leg_rs485.kicad_sch,AX_L_HIP_PITCH,LOG-PWR,BRANCH VDD,RS-LLEG_VDD
W5017,05_left_leg_rs485.kicad_sch,AX_L_HIP_PITCH,LOG-RET,BRANCH RETURN,RS-LLEG_RET
W5018,05_left_leg_rs485.kicad_sch,AX_L_HIP_PITCH,LOG-DP,RS-485 DATA+,RS-LLEG_DP
W5019,05_left_leg_rs485.kicad_sch,AX_L_HIP_PITCH,LOG-DN,RS-485 DATA-,RS-LLEG_DN
W5020,05_left_leg_rs485.kicad_sch,AX_L_KNEE_PITCH,LOG-PWR,BRANCH VDD,RS-LLEG_VDD
W5021,05_left_leg_rs485.kicad_sch,AX_L_KNEE_PITCH,LOG-RET,BRANCH RETURN,RS-LLEG_RET
W5022,05_left_leg_rs485.kicad_sch,AX_L_KNEE_PITCH,LOG-DP,RS-485 DATA+,RS-LLEG_DP
W5023,05_left_leg_rs485.kicad_sch,AX_L_KNEE_PITCH,LOG-DN,RS-485 DATA-,RS-LLEG_DN
W5024,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_PITCH,LOG-PWR,BRANCH VDD,RS-LLEG_VDD
W5025,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_PITCH,LOG-RET,BRANCH RETURN,RS-LLEG_RET
W5026,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_PITCH,LOG-DP,RS-485 DATA+,RS-LLEG_DP
W5027,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_PITCH,LOG-DN,RS-485 DATA-,RS-LLEG_DN
W5028,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_ROLL,LOG-PWR,BRANCH VDD,RS-LLEG_VDD
W5029,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_ROLL,LOG-RET,BRANCH RETURN,RS-LLEG_RET
W5030,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_ROLL,LOG-DP,RS-485 DATA+,RS-LLEG_DP
W5031,05_left_leg_rs485.kicad_sch,AX_L_ANKLE_ROLL,LOG-DN,RS-485 DATA-,RS-LLEG_DN
W6001,06_right_leg_rs485.kicad_sch,PORT_RS_RLEG,LOG-RET,DATA REFERENCE,RS-RLEG_RET
W6002,06_right_leg_rs485.kicad_sch,PORT_RS_RLEG,LOG-DP,DATA+,RS-RLEG_DP
W6003,06_right_leg_rs485.kicad_sch,PORT_RS_RLEG,LOG-DN,DATA-,RS-RLEG_DN
W6004,06_right_leg_rs485.kicad_sch,PBR_RS_RLEG,LOG-IN,INTERRUPTED SOURCE,ACT_14V8_SAFE
W6005,06_right_leg_rs485.kicad_sch,PBR_RS_RLEG,LOG-RET-IN,SOURCE RETURN,ACT_0V_CONTROLLED
W6006,06_right_leg_rs485.kicad_sch,PBR_RS_RLEG,LOG-OUT,PROTECTED VDD,RS-RLEG_VDD
W6007,06_right_leg_rs485.kicad_sch,PBR_RS_RLEG,LOG-RET-OUT,BRANCH RETURN,RS-RLEG_RET
W6008,06_right_leg_rs485.kicad_sch,AX_R_HIP_YAW,LOG-PWR,BRANCH VDD,RS-RLEG_VDD
W6009,06_right_leg_rs485.kicad_sch,AX_R_HIP_YAW,LOG-RET,BRANCH RETURN,RS-RLEG_RET
W6010,06_right_leg_rs485.kicad_sch,AX_R_HIP_YAW,LOG-DP,RS-485 DATA+,RS-RLEG_DP
W6011,06_right_leg_rs485.kicad_sch,AX_R_HIP_YAW,LOG-DN,RS-485 DATA-,RS-RLEG_DN
W6012,06_right_leg_rs485.kicad_sch,AX_R_HIP_ROLL,LOG-PWR,BRANCH VDD,RS-RLEG_VDD
W6013,06_right_leg_rs485.kicad_sch,AX_R_HIP_ROLL,LOG-RET,BRANCH RETURN,RS-RLEG_RET
