sheet,reference,status,evidence_needed
01_energy_precharge_conversion.kicad_sch,BATT1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Pack envelope exists in CAD. BMS/PCM, containment, retention, connector, protection, charger and fault behavior remain unselected."
01_energy_precharge_conversion.kicad_sch,SD1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"DC voltage/current/fault rating, touch safety, interlock and mounting remain open."
01_energy_precharge_conversion.kicad_sch,PRE1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Resistance, energy, timing, welded/bypass faults, discharge time and control device remain selection/calculation/test work."
01_energy_precharge_conversion.kicad_sch,DCDC1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact converter, input/output protection, isolation/bonding, regeneration behavior, inrush, thermal and EMC evidence remain open."
01_energy_precharge_conversion.kicad_sch,CHG1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No charger, connector, charge path or interlock circuit is selected; powered charging is prohibited."
01_energy_precharge_conversion.kicad_sch,RET1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Single-point bond, floating/onboard mode, charger/tether PE, shield treatment and fault-current path require jurisdiction-specific qualified design."
02_estop_permit_contactors.kicad_sch,S0,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact device, contacts, terminals, enclosure, spacing and direct-opening application remain selection and qualified review work."
02_estop_permit_contactors.kicad_sch,S1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,Reset is eligibility only and must not command motion. Exact anti-tie-down/contact/terminal behavior requires selection and physical test.
02_estop_permit_contactors.kicad_sch,SR1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Required PLr/SIL, exact architecture/category, common-cause, diagnostic coverage, reset mode, reaction time and validation are not established."
02_estop_permit_contactors.kicad_sch,K1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"DC interruption duty, coil suppression, mirror-contact semantics, fault current and life require manufacturer application confirmation."
02_estop_permit_contactors.kicad_sch,K2,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Second series interruption channel; common-cause, welded-contact and energy-removal behavior remain unvalidated."
03_compute_motion_watchdog.kicad_sch,CPU1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No actuator-bus credentials or raw joint-register authority. Exact power, storage, cooling, privacy and network controls remain open."
03_compute_motion_watchdog.kicad_sch,MCU1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Owns state estimation, bounded trajectories, joint limits, bus timing and fault states. Exact MCU board, I/O pins, isolation, real-time performance and firmware evidence remain open."
03_compute_motion_watchdog.kicad_sch,WD1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Heartbeat supervision is diagnostic only and may not bypass S0, monitored reset, EDM or deterministic motion authorization."
03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_LARM,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_RARM,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_RS_WAIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_LDIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_RDIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
03_compute_motion_watchdog.kicad_sch,MCU_IO_TTL_HEAD,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is an alternate logical-unit view of MCU1, not an additional controller or released package pin assignment."
04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_LARM,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_RARM,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_RS_WAIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_LDIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_RDIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
04_eight_actuator_bus_interfaces.kicad_sch,IF_TTL_HEAD,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact transceiver/buffer, isolated supply, package pins, passives, termination/bias or level shifting, protection and layout are not selected."
05_left_leg_rs485.kicad_sch,PORT_RS_LLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
05_left_leg_rs485.kicad_sch,PBR_RS_LLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No fuse, limiter, conductor or connector rating is released. Fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
05_left_leg_rs485.kicad_sch,AX_L_HIP_YAW,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
05_left_leg_rs485.kicad_sch,AX_L_HIP_ROLL,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
05_left_leg_rs485.kicad_sch,AX_L_HIP_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
05_left_leg_rs485.kicad_sch,AX_L_KNEE_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
05_left_leg_rs485.kicad_sch,AX_L_ANKLE_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
05_left_leg_rs485.kicad_sch,AX_L_ANKLE_ROLL,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
06_right_leg_rs485.kicad_sch,PORT_RS_RLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
06_right_leg_rs485.kicad_sch,PBR_RS_RLEG,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No fuse, limiter, conductor or connector rating is released. Fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
06_right_leg_rs485.kicad_sch,AX_R_HIP_YAW,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
06_right_leg_rs485.kicad_sch,AX_R_HIP_ROLL,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
