part_id,part_kind,quantity_per_hand,whole_robot_quantity,fabrication_candidate,candidate_material_or_product,cad_volume_mm3,planning_mass_each_kg,bbox_xyz_mm,source_path,source_sha256,state_relation,note,release_state,warning
PALM_FRONT_PLATE,windowed palm frame plate,1,2,TRUE,PA-CF or 6061-T6 candidate,3768.025546,0.004521631,50.000 x 3.000 x 36.000,parts/PALM_FRONT_PLATE.step,4b357c8396415a82e45509cc83602553d646335fa269d11366ac6428c4b4d286,fixed geometry in CLOSED and OPEN states,front service plate; exact process and inserts open,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
PALM_REAR_PLATE,windowed palm frame plate,1,2,TRUE,PA-CF or 6061-T6 candidate,3768.025546,0.004521631,50.000 x 3.000 x 36.000,parts/PALM_REAR_PLATE.step,965c502497c705d59095c40c73b49e038fc346c6d9ee11937a0e451924858d16,fixed geometry in CLOSED and OPEN states,rear service plate; exact process and inserts open,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
PALM_TOP_BRIDGE,palm frame bridge,1,2,TRUE,PA-CF or 6061-T6 candidate,8883.520861,0.010660225,46.000 x 50.000 x 4.000,parts/PALM_TOP_BRIDGE.step,aca628773b39c8adbd65b446474eeb18cb62f7f58b66b0706155db20e02fb82f,fixed geometry in CLOSED and OPEN states,top load bridge,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
PALM_BOTTOM_BRIDGE,palm frame bridge,1,2,TRUE,PA-CF or 6061-T6 candidate,8883.520861,0.010660225,46.000 x 50.000 x 4.000,parts/PALM_BOTTOM_BRIDGE.step,c167199516d04686ea20a5efa3e2a0fd4524364d1a78b6dc901ee6339710b627,fixed geometry in CLOSED and OPEN states,bottom guide bridge,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
WRIST_MOUNT_PLATE,wrist interface plate,1,2,TRUE,6061-T6 candidate,3760.613461,0.010153656,38.000 x 36.000 x 3.000,parts/WRIST_MOUNT_PLATE.step,be4d164e09872643a557cbd07d28ef07be7124acf05deea7e55c38a921ee3d64,fixed geometry in CLOSED and OPEN states,four-hole JMF-01 wrist candidate; fit and fasteners open,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GUIDE_ROD_FRONT,linear guide rod,1,2,TRUE,hardened stainless 4 mm rod candidate,804.247719,0.006313345,64.000 x 4.000 x 4.000,parts/GUIDE_ROD_FRONT.step,077ea949436a98f60e0b8cf7ff8e1974e28f1cf2ba0444ced596f0283a428ffe,fixed geometry in CLOSED and OPEN states,"straightness, finish, end retention and wear open",DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GUIDE_ROD_REAR,linear guide rod,1,2,TRUE,hardened stainless 4 mm rod candidate,804.247719,0.006313345,64.000 x 4.000 x 4.000,parts/GUIDE_ROD_REAR.step,a23ac69ed1ee28118772ba5904eefddac63ac9ea87525cbe09af7ccc1090ac26,fixed geometry in CLOSED and OPEN states,"straightness, finish, end retention and wear open",DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
PINION,twenty-tooth symmetric-drive pinion,1,2,TRUE,POM or aluminum module-0.5 candidate,406.082692,0.000568516,10.996 x 6.000 x 10.996,parts/PINION.step,9459eb39fa8ae316485ad05ec5459affa01a9675aece570d2a57ea58003a72c6,fixed geometry in CLOSED and OPEN states,"20-degree involute candidate; manufactured profile, strength and retention open",DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
RACK_POSITIVE,positive-jaw rack,1,2,TRUE,POM module-0.5 candidate,515.947367,0.000722326,32.952 x 6.000 x 3.250,parts/RACK_POSITIVE.step,5271e10453dc081a772ef73b88bb0b1f6b339727c3706109c14964321e964937,CLOSED-state geometry; translates 13 mm outward per jaw to OPEN state,matching 20-degree rack candidate; manufactured profile and wear proof open,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
RACK_NEGATIVE,negative-jaw rack,1,2,TRUE,POM module-0.5 candidate,515.947367,0.000722326,32.952 x 6.000 x 3.250,parts/RACK_NEGATIVE.step,fc59c5071f7cd724dd0221e85ff6262cdc0bf7ed26d124a85db925f38d84ad66,CLOSED-state geometry; translates 13 mm outward per jaw to OPEN state,matching 20-degree rack candidate; manufactured profile and wear proof open,DETAILED P0.1 CANDIDATE - FIT/MATERIAL/TOLERANCE/DFM/FAI/PHYSICAL PROOF OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
