hold_id,subject,status,evidence_needed,warning
DXL-BIND-HOLD-001,BOM-051 fabrication and assembly,OPEN,all R151 manufacturing and assembly holds remain open,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-002,BOM-052/BOM-053 headers,OPEN,"received identity, polarity, footprint and application acceptance","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-003,BOM-054/BOM-055 signal housing/contact,OPEN,"wire compatibility, crimp tooling, pull, retention and temperature evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-004,BOM-056/BOM-057 power housing/contact,OPEN,"selected conductor, crimp process, pull, retention and thermal evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-005,BOM-061 signal harness,OPEN,"exact cable construction, lengths, empty U2D2 cavity, strain relief and bend-life evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-006,BOM-015 branch protection,OPEN,"fault, inrush, regeneration, duty, clearing and jurisdiction evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-007,BOM-060/BOM-069 conductor and termination,OPEN,"exact wire/termination order codes, routing, tooling and pull-test acceptance","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-008,connector/current conflict,OPEN,resolve JST EH 3 A basis versus XM540 4.4 A stall condition,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-009,DXL waveform and EMC,OPEN,"baud/topology/loading/error-rate, routing, shield and common-mode evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-010,no-backfeed and power sequencing,OPEN,physical open/short/power-sequence tests with JC1.2 omitted,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-011,thermal and fault validation,OPEN,"representative continuous/peak load, fault injection and temperature-rise evidence","PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DXL-BIND-HOLD-012,qualified review and work authority,OPEN,independent electrical/manufacturing disposition plus separate written work authorization,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
