system_reference,system_terminal,system_pin_name,system_net,native_reference,native_terminal,native_pin_name,native_net,parity,release_state,warning
INJ1,CTRL:1,U2D2 GND,ACT_0V_PE_BONDED,JC1,1,GND,ACT_0V_PE_BONDED,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,CTRL:2,U2D2 VDD OMITTED,INTENTIONALLY_UNUSED_U2D2_VDD,JC1,2,VDD OMITTED,INTENTIONALLY_UNUSED_U2D2_VDD,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,CTRL:3,U2D2 DATA,DXL_TTL_DATA,JC1,3,DATA,DXL_TTL_DATA,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,PWR1:1,J1 FUSED VDD,J1_VDD,JP1,1,J1 FUSED VDD,J1_VDD,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,PWR1:2,J1 RETURN,ACT_0V_PE_BONDED,JP1,2,COMMON RETURN,ACT_0V_PE_BONDED,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,PWR2:1,J2 FUSED VDD,J2_VDD,JP2,1,J2 FUSED VDD,J2_VDD,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,PWR2:2,J2 RETURN,ACT_0V_PE_BONDED,JP2,2,COMMON RETURN,ACT_0V_PE_BONDED,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,PWR3:1,J3 FUSED VDD,J3_VDD,JP3,1,J3 FUSED VDD,J3_VDD,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,PWR3:2,J3 RETURN,ACT_0V_PE_BONDED,JP3,2,COMMON RETURN,ACT_0V_PE_BONDED,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,ACT1:1,J1 GND,ACT_0V_PE_BONDED,JA1,1,GND,ACT_0V_PE_BONDED,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,ACT1:2,J1 VDD,J1_VDD,JA1,2,J1 VDD,J1_VDD,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,ACT1:3,J1 DATA,DXL_TTL_DATA,JA1,3,DATA,DXL_TTL_DATA,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,ACT2:1,J2 GND,ACT_0V_PE_BONDED,JA2,1,GND,ACT_0V_PE_BONDED,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,ACT2:2,J2 VDD,J2_VDD,JA2,2,J2 VDD,J2_VDD,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
INJ1,ACT2:3,J2 DATA,DXL_TTL_DATA,JA2,3,DATA,DXL_TTL_DATA,PASS,ENCODED ALLOCATION PARITY ONLY - PHYSICAL EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
