req_id,characteristic,requirement,acceptance_return,state,warning
RFQ-REQ-01,assembly,one complete data/reference harness; quote one first article and five evaluation articles separately,provider quantity/MOQ/price/lead-time response,REQUEST - NOT A PURCHASE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-02,end A,JST EHR-3 housing; SEH-001T-P0.6 contacts only in cavities 1 and 3; cavity 2 physically empty,provider drawing and 100 percent population inspection,EXACT REQUEST,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-03,end B,JST EHR-3 housing; SEH-001T-P0.6 contacts only in cavities 1 and 3; cavity 2 physically empty,provider drawing and 100 percent population inspection,EXACT REQUEST,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-04,connectivity,A1-to-B1 GND; A3-to-B3 DATA; no other conductive path; no splice,100 percent continuity/isolation report with stated method and limits,EXACT REQUEST,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-05,wire,requested Belden 3051 BK005 for cavity 1 and 3051 WH005 for cavity 3; identify any provider-proposed controlled equivalent before acceptance,"exact manufacturer/order code, AWG, strand, material, insulation, OD and temperature rating",CANDIDATE / SUBSTITUTE REQUIRES APPROVAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-06,finished length,500 +/- 5 mm unloaded centerline between rear wire-exit planes of assembled EHR-3 housings,provider drawing must reconcile this datum with its controlled inside/overall dimension scheme,EXACT CANDIDATE HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-07,pair lay,25 +/- 5 mm per turn after termination; no shield or drain,provider capability/tolerance statement and measured first-article record,EXACT CANDIDATE HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-08,housing orientation,cavity-number continuity controls; do not infer same/opposite visual orientation from an unnumbered view,numbered rear and mating-face views for both ends,EXACT REQUEST,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-09,strain/workmanship,"no nicked strands, insulation damage, exposed conductor outside accepted brush/bellmouth, connector load or bend below 15 mm stationary radius",provider workmanship standard and first-article inspection record,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-10,traceability,"provider part number, drawing revision, work order/lot, component identities, tool/applicator identity and inspection status",certificate of conformance and traveler/inspection summary,EXACT REQUEST,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-11,process evidence,controlled JST-compatible contact process for the accepted wire; no generic plier,numeric crimp/strip/pull limits or provider attestation to controlled JST specification plus process validation/sampling basis,EVIDENCE REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RFQ-REQ-12,label/packaging,"identify HAR-CTRL, END A U2D2 and END B JC1 without obscuring latch/bend zones; protect contacts/housings in shipment",proposed label material/placement and packaging method,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
