hold_id,scope,state,closure_evidence,warning
R262-H01,transmission authority,NOT AUTHORIZED,named sender and written authorization to transmit exact ZIP through official route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H02,provider technical response,NOT RECEIVED,attributable GAM response to all eighteen questions,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H03,provider part number and drawing,SELECTION REQUIRED,unique custom assembly identity and accepted numbered drawing,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H04,wire/contact process compatibility,SELECTION REQUIRED,GAM acceptance of Belden wire or accepted exact substitute and controlled SEH process,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H05,dimension datum and first article,PHYSICAL EVIDENCE REQUIRED,provider datum reconciliation and received 500 +/- 5 mm first-article record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H06,crimp/process validation,PHYSICAL EVIDENCE REQUIRED,"controlled specification attestation, tool/applicator identity and accepted coupon/process evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H07,electrical and population inspection,TEST REQUIRED,100 percent continuity/isolation/cavity-population results with accepted limits,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H08,commercial and purchase decision,SELECTION REQUIRED,"attributable quote, comparison, budget/quantity decision and separate purchase authorization","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H09,received route and system tests,PHYSICAL EVIDENCE REQUIRED,"installed fit, strain, separation, no-backfeed and waveform/error-rate evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R262-H10,qualified review and work authority,NOT EXECUTED,qualified electrical/controls acceptance and separate written authority for each physical stage,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
