board,net,routing_grid_mm,routed_pad_count,path_segments,transition_vias,routing_layers,routing_method,warning
A,CTRL_GND,0.50,21,283,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,CTRL_5V,0.50,13,209,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,CTRL_3V3,0.50,9,211,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_RET,0.50,6,38,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LLEG_RET,0.50,6,38,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_RET,0.50,6,37,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_RET,0.50,6,37,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_DN,0.50,5,43,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_DP,0.50,5,57,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LLEG_DN,0.50,5,43,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
