axis_id,region,candidate_actuator,candidate_transmission,candidate_rail,position_feedback,candidate_disposition,interface_status,authority
HEAD_PAN,head,ROBOTIS XC330-class compact X-series candidate,direct drive with current/velocity limiting,compatible isolated or shared rail SELECTION REQUIRED,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
HEAD_TILT,head,ROBOTIS XC330-class compact X-series candidate,direct drive with current/velocity limiting,compatible isolated or shared rail SELECTION REQUIRED,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
WAIST_YAW,waist,ROBOTIS XM540-W270-R candidate,direct drive; external bearing support,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_SHOULDER_PITCH,arm,ROBOTIS XM540-W270-R candidate,direct drive candidate; dual-supported output,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL - ARM MASS TARGET CURRENTLY FAILS,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_SHOULDER_ROLL,arm,ROBOTIS XM540-W270-R candidate,direct drive candidate; dual-supported output,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL - ARM MASS TARGET CURRENTLY FAILS,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_ELBOW_PITCH,arm,ROBOTIS XM430-W350-R / XM540-W270-R decision candidate,direct drive candidate; dual-supported output,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL - DECIDE FROM HR-V0 MEASURED DATA,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_WRIST_ROTATION,arm,ROBOTIS XM430-W350-R candidate,direct drive through supported wrist shaft,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_GRIPPER,hand,ROBOTIS XM430-class candidate,compliant parallel-link or tendon transmission,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL - FORCE/LIMIT/COMPLIANCE PROOF REQUIRED,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_HIP_YAW,leg,ROBOTIS XH540-W270-R evaluation candidate,direct-drive W0 test candidate; dual-supported output,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,PROVISIONAL - W0 PROOF REQUIRED,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
L_HIP_ROLL,leg,ROBOTIS XH540-W270-R evaluation candidate,reduction path reserved; ratio SELECTION REQUIRED; dual-supported output,10.0-14.8 V candidate domain,actuator encoder plus output-side absolute encoder on every reduced leg joint; other safety role SELECTION REQUIRED,DIRECT DRIVE REJECTED/BLOCKED,AXIS AND RESERVATION DEFINED; EXACT HOUSING/SHAFT/BEARING/FASTENER INTERFACES OPEN,NO PROCUREMENT OR FABRICATION AUTHORITY
