module_id,body_segment,side,region,envelope_sources,bbox_width_x_mm,bbox_depth_y_mm,bbox_height_z_mm,bbox_min_xyz_mm,bbox_max_xyz_mm,primary_datum,upstream_interface,downstream_interface,owned_axis_count,owned_axes,actuated_by,joint_interface_summary,planning_mass_kg,fabrication_part_count,service_panels,harness_routes,candidate_actuation,refinement_path,release_state,warning
H01,"Head, screen face and sensor shell",C,head,HEAD_SHELL_ENVELOPE; FACE_SCREEN_PANEL,150.024,116.015,112.024,"(-75.012, -61.003, 649.988)","(75.012, 55.012, 762.012)","HEAD_TILT @ (0, 0, 690) mm",N01 tilt cradle at HEAD_TILT,"Face screen, stereo vision, microphones and speakers",0,NONE - PASSIVE BODY MODULE,HEAD_TILT,HEAD_TILT: JMF-01-COMPACT; plate 36.0 x 38.0 x 3.0; 4 x DIA 3.4 on 26.0 x 28.0 rectangle,0.418231000,2,H01_HEAD_FRONT_BEZEL; H01_HEAD_REAR_COVER,HN01_HEAD_BRANCH,PASSIVE MODULE; moved through HEAD_TILT,"Select display/cameras/audio; define bezel lands, thermal path, privacy indication, fasteners and impact-safe edges.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01,Two-axis articulated neck,C,neck,NECK_COLUMN_ENVELOPE,54.012,54.012,58.012,"(-27.006, -27.006, 595.994)","(27.006, 27.006, 654.006)","HEAD_PAN @ (0, 0, 650) mm",T01 shoulder crossmember / pan module,H01 tilt cradle,2,HEAD_PAN; HEAD_TILT,OWNED AXES,HEAD_PAN: JMF-01-COMPACT; plate 36.0 x 38.0 x 3.0; 4 x DIA 3.4 on 26.0 x 28.0 rectangle | HEAD_TILT: JMF-01-COMPACT; plate 36.0 x 38.0 x 3.0; 4 x DIA 3.4 on 26.0 x 28.0 rectangle,0.121151000,1,NONE DEFINED,HN01_HEAD_BRANCH,HEAD_PAN: ROBOTIS XC330-class compact X-series candidate / direct drive with current/velocity limiting | HEAD_TILT: ROBOTIS XC330-class compact X-series candidate / direct drive with current/velocity limiting,"Close pan/tilt stops, shaft/bearing fits, moving cable loop, head retention, backlash and neck pinch guarding.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01,"Torso frame, compute and cooling",C,trunk,TORSO_SHELL_ENVELOPE; TORSO_LEFT_FRAME_RAIL; TORSO_RIGHT_FRAME_RAIL; TORSO_SHOULDER_CROSSMEMBER,209.000,129.000,164.000,"(-104.500, -64.500, 430.500)","(104.500, 64.500, 594.500)","WAIST_YAW @ (0, 0, 425) mm",P01 waist bearing/output interface,N01 neck and A01/A02 shoulder interfaces,0,NONE - PASSIVE BODY MODULE,WAIST_YAW,WAIST_YAW: JMF-05-WAIST; plate 98.0 x 72.0 x 5.0; 4 x DIA 5.5 on 82.0 x 56.0 rectangle,0.987371000,5,T01_TORSO_FRONT_COVER; T01_TORSO_REAR_COVER,HN01_TORSO_POWER_SPINE; HN01_TORSO_DATA_SPINE; HN01_HEAD_BRANCH,PASSIVE MODULE; moved through WAIST_YAW,"Release rail/crossmember drawings, compute retention, airflow, battery-cassette isolation, shoulder load path and service clearances.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01,"Pelvis, power bay and restraint bridge",C,trunk,PELVIS_SHELL_ENVELOPE; PELVIS_LOAD_FRAME_ENVELOPE; WAIST_BEARING_STACK_RESERVATION,161.500,111.500,93.256,"(-80.750, -55.750, 348.750)","(80.750, 55.750, 442.006)",PELVIS / WAIST datum @ Z=425 mm,L01/L02 hip-yaw modules and external fall-restraint system,T01 waist output,1,WAIST_YAW,OWNED AXES,WAIST_YAW: JMF-05-WAIST; plate 98.0 x 72.0 x 5.0; 4 x DIA 5.5 on 82.0 x 56.0 rectangle,1.647263000,6,P01_PELVIS_FRONT_COVER; P01_PELVIS_REAR_COVER,HN01_TORSO_POWER_SPINE; HN01_TORSO_DATA_SPINE; HN01_L_LEG_POWER; HN01_L_LEG_DATA; HN01_R_LEG_POWER; HN01_R_LEG_DATA,WAIST_YAW: ROBOTIS XM540-W270-R candidate / direct drive; external bearing support,"Close hip and waist load paths, battery/PDU containment, service disconnect access, IMU datum and rated restraint interface.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01,"Left shoulder, upper arm, elbow, forearm and wrist",L,arm,L_SHOULDER_HOUSING_ENVELOPE; L_UPPER_ARM_SHELL_ENVELOPE; L_ELBOW_HOUSING_ENVELOPE; L_FOREARM_SHELL_ENVELOPE; L_WRIST_HOUSING_ENVELOPE,90.231,72.012,341.533,"(66.775, -36.006, 277.473)","(157.006, 36.006, 619.006)","L_SHOULDER pair @ (105, 0, 590) mm",T01 left shoulder crossmember,G01 palm at L_WRIST_ROTATION,4,L_SHOULDER_PITCH; L_SHOULDER_ROLL; L_ELBOW_PITCH; L_WRIST_ROTATION,OWNED AXES,L_SHOULDER_PITCH: JMF-03-SHOULDER-GIMBAL; plate 52.0 x 56.0 x 4.0; 4 x DIA 4.5 on 40.0 x 44.0 rectangle | L_SHOULDER_ROLL: JMF-03-SHOULDER-GIMBAL; plate 52.0 x 56.0 x 4.0; 4 x DIA 4.5 on 40.0 x 44.0 rectangle | L_ELBOW_PITCH: JMF-04-MEDIUM; plate 52.0 x 56.0 x 4.0; 4 x DIA 4.5 on 40.0 x 44.0 rectangle | L_WRIST_ROTATION: JMF-01-COMPACT; plate 36.0 x 38.0 x 3.0; 4 x DIA 3.4 on 26.0 x 28.0 rectangle,0.690052000,10,A01_UPPER_ARM_FRONT_COVER; A01_UPPER_ARM_REAR_COVER; A01_FOREARM_FRONT_COVER; A01_FOREARM_REAR_COVER,HN01_L_ARM_POWER; HN01_L_ARM_DATA,L_SHOULDER_PITCH: ROBOTIS XM430-W350-R candidate / remote 16:24 5GT / 1.5:1 supported gimbal output | L_SHOULDER_ROLL: ROBOTIS XM430-W350-R candidate / remote 16:24 5GT / 1.5:1 supported gimbal output | L_ELBOW_PITCH: ROBOTIS XM430-W350-R candidate / direct drive candidate; dual-supported output | L_WRIST_ROTATION: ROBOTIS XC330-T288-T candidate / direct drive through supported wrist shaft,"Close gimbal packaging, link plates, elbow/wrist shafts, stops, covers, service loops and the current arm-mass overrun.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01,Left hand-shaped parallel gripper,L,hand,L_HAND_PALM_ENVELOPE; L_INBOARD_GRIPPER_FINGER; L_OUTBOARD_GRIPPER_FINGER,50.012,58.012,69.011,"(107.994, -29.006, 223.974)","(158.006, 29.006, 292.985)","L_GRIPPER @ (140, 0, 252) mm",A01 supported wrist shaft,Two broad fingers and replaceable compliant pad lands,1,L_GRIPPER,OWNED AXES,L_GRIPPER: JMF-02-GRIPPER; plate 42.0 x 38.0 x 3.0; 4 x DIA 3.4 on 32.0 x 26.0 rectangle,0.212874000,17,NONE DEFINED,HN01_L_ARM_POWER; HN01_L_ARM_DATA,L_GRIPPER: ROBOTIS XC330-class compact candidate / transverse palm-mounted motor with compliant symmetric rack/pinion or tendon equalizer,"Select equalizer, pads, force/current limit, object sensing, mechanical end stops, retention and pinch-safe finger gaps.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02,"Right shoulder, upper arm, elbow, forearm and wrist",R,arm,R_SHOULDER_HOUSING_ENVELOPE; R_UPPER_ARM_SHELL_ENVELOPE; R_ELBOW_HOUSING_ENVELOPE; R_FOREARM_SHELL_ENVELOPE; R_WRIST_HOUSING_ENVELOPE,90.231,72.012,341.533,"(-157.006, -36.006, 277.473)","(-66.775, 36.006, 619.006)","R_SHOULDER pair @ (-105, 0, 590) mm",T01 right shoulder crossmember,G02 palm at R_WRIST_ROTATION,4,R_SHOULDER_PITCH; R_SHOULDER_ROLL; R_ELBOW_PITCH; R_WRIST_ROTATION,OWNED AXES,R_SHOULDER_PITCH: JMF-03-SHOULDER-GIMBAL; plate 52.0 x 56.0 x 4.0; 4 x DIA 4.5 on 40.0 x 44.0 rectangle | R_SHOULDER_ROLL: JMF-03-SHOULDER-GIMBAL; plate 52.0 x 56.0 x 4.0; 4 x DIA 4.5 on 40.0 x 44.0 rectangle | R_ELBOW_PITCH: JMF-04-MEDIUM; plate 52.0 x 56.0 x 4.0; 4 x DIA 4.5 on 40.0 x 44.0 rectangle | R_WRIST_ROTATION: JMF-01-COMPACT; plate 36.0 x 38.0 x 3.0; 4 x DIA 3.4 on 26.0 x 28.0 rectangle,0.690052000,10,A02_UPPER_ARM_FRONT_COVER; A02_UPPER_ARM_REAR_COVER; A02_FOREARM_FRONT_COVER; A02_FOREARM_REAR_COVER,HN01_R_ARM_POWER; HN01_R_ARM_DATA,R_SHOULDER_PITCH: ROBOTIS XM430-W350-R candidate / remote 16:24 5GT / 1.5:1 supported gimbal output | R_SHOULDER_ROLL: ROBOTIS XM430-W350-R candidate / remote 16:24 5GT / 1.5:1 supported gimbal output | R_ELBOW_PITCH: ROBOTIS XM430-W350-R candidate / direct drive candidate; dual-supported output | R_WRIST_ROTATION: ROBOTIS XC330-T288-T candidate / direct drive through supported wrist shaft,"Close gimbal packaging, link plates, elbow/wrist shafts, stops, covers, service loops and the current arm-mass overrun.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02,Right hand-shaped parallel gripper,R,hand,R_HAND_PALM_ENVELOPE; R_INBOARD_GRIPPER_FINGER; R_OUTBOARD_GRIPPER_FINGER,50.012,58.012,69.011,"(-158.006, -29.006, 223.974)","(-107.994, 29.006, 292.985)","R_GRIPPER @ (-140, 0, 252) mm",A02 supported wrist shaft,Two broad fingers and replaceable compliant pad lands,1,R_GRIPPER,OWNED AXES,R_GRIPPER: JMF-02-GRIPPER; plate 42.0 x 38.0 x 3.0; 4 x DIA 3.4 on 32.0 x 26.0 rectangle,0.212874000,17,NONE DEFINED,HN01_R_ARM_POWER; HN01_R_ARM_DATA,R_GRIPPER: ROBOTIS XC330-class compact candidate / transverse palm-mounted motor with compliant symmetric rack/pinion or tendon equalizer,"Select equalizer, pads, force/current limit, object sensing, mechanical end stops, retention and pinch-safe finger gaps.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01,"Left hip, thigh, knee, shin and ankle",L,leg,L_HIP_HOUSING_ENVELOPE; L_THIGH_SHELL_ENVELOPE; L_KNEE_HOUSING_ENVELOPE; L_SHIN_SHELL_ENVELOPE; L_ANKLE_HOUSING_ENVELOPE,78.000,82.014,390.012,"(23.500, -41.007, 24.995)","(101.500, 41.007, 415.007)","L_HIP_PITCH @ (62.5, 0, 380) mm",P01 left hip stack,F01 sole carrier at L_ANKLE_ROLL,6,L_HIP_YAW; L_HIP_ROLL; L_HIP_PITCH; L_KNEE_PITCH; L_ANKLE_PITCH; L_ANKLE_ROLL,OWNED AXES,L_HIP_YAW: JMF-06-LEG-DIRECT; plate 66.0 x 70.0 x 5.0; 4 x DIA 5.5 on 52.0 x 56.0 rectangle | L_HIP_ROLL: JMF-08-LEG-REDUCED-20; plate 74.0 x 70.0 x 5.0; 4 x DIA 5.5 on 60.0 x 56.0 rectangle | L_HIP_PITCH: JMF-07-LEG-REDUCED-15; plate 72.0 x 78.0 x 5.0; 4 x DIA 5.5 on 58.0 x 64.0 rectangle | L_KNEE_PITCH: JMF-09-KNEE-REDUCED-25; plate 74.0 x 78.0 x 5.0; 4 x DIA 5.5 on 60.0 x 64.0 rectangle | L_ANKLE_PITCH: JMF-10-ANKLE-PITCH-REDUCED-25; plate 74.0 x 72.0 x 5.0; 4 x DIA 5.5 on 60.0 x 58.0 rectangle | L_ANKLE_ROLL: JMF-08-LEG-REDUCED-20; plate 74.0 x 70.0 x 5.0; 4 x DIA 5.5 on 60.0 x 56.0 rectangle,2.037255000,16,L01_SHIN_FRONT_COVER; L01_SHIN_REAR_COVER; L01_THIGH_FRONT_COVER; L01_THIGH_REAR_COVER,HN01_L_LEG_POWER; HN01_L_LEG_DATA,L_HIP_YAW: ROBOTIS XH540-W270-R evaluation candidate / direct-drive W0 test candidate; dual-supported output | L_HIP_ROLL: ROBOTIS XH540-W270-R evaluation candidate / 2.0:1 geometric timing-reduction candidate; dual-supported output; exact belt/pulleys SELECTION REQUIRED | L_HIP_PITCH: ROBOTIS XH540-W270-R evaluation candidate / 1.5:1 timing-belt candidate; dual-supported output; output absolute encoder | L_KNEE_PITCH: ROBOTIS XH540-W270-R evaluation candidate / 2.5:1 16:40 whole-body knee timing-reduction candidate; dual-supported 12 mm output; output absolute encoder | L_ANKLE_PITCH: ROBOTIS XM430-W350-R evaluation candidate / 2.5:1 16:40 timing-reduction candidate; dual-supported 12 mm output; exact belt capacity SELECTION REQUIRED | L_ANKLE_ROLL: ROBOTIS XM430-W350-R evaluation candidate / 2.0:1 timing-reduction candidate; dual-supported 12 mm output; exact belt capacity SELECTION REQUIRED,"Close reduced-joint transmissions, output encoders, shafts, bearings, link stiffness, covers, thermal paths and moving cable loops.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01,"Left ankle output, foot and sole interface",L,foot,L_FOOT_SHELL_ENVELOPE,90.012,145.012,35.012,"(17.494, -47.506, -0.006)","(107.506, 97.506, 35.006)","Floor Z=0; L_ANKLE_ROLL @ (62.5, 0, 35) mm",L01 ankle-roll output,Replaceable sole/contact and force-sensing layers,0,NONE - PASSIVE BODY MODULE,L_ANKLE_ROLL,L_ANKLE_ROLL: JMF-08-LEG-REDUCED-20; plate 74.0 x 70.0 x 5.0; 4 x DIA 5.5 on 60.0 x 56.0 rectangle,0.436839000,3,F01_TOP_COVER,HN01_L_LEG_POWER; HN01_L_LEG_DATA,PASSIVE MODULE; moved through L_ANKLE_ROLL,"Select sole material, contact sensing, fasteners, toe/heel edge treatment, friction target and structural proof under single support.",DIMENSIONED WHOLE-BODY INTERFACE CANDIDATE - DETAIL DRAWING/GD&T/SELECTION/DFM/FAI/PHYSICAL VALIDATION OPEN,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
