item_id,category,source_component,dynamic_link,candidate_material_or_model,density_screen_kg_m3,cad_volume_mm3,minimum_candidate_mass_kg,planning_candidate_mass_kg,maximum_candidate_mass_kg,placement_x_m,placement_y_m,placement_z_m,basis_and_limit,selection_state,warning
FAB-T01_TORSO_RAIL_R,FABRICATION CAD DENSITY SCREEN,T01_TORSO_RAIL_R,torso,6061-T6/T651 HOLLOW EXTRUSION CANDIDATE,2700.0,18199.120799,0.049137626,0.049137626,0.049137626,-0.066000000,0.006000000,0.507000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-T01_TORSO_RAIL_L,FABRICATION CAD DENSITY SCREEN,T01_TORSO_RAIL_L,torso,6061-T6/T651 HOLLOW EXTRUSION CANDIDATE,2700.0,18199.120799,0.049137626,0.049137626,0.049137626,0.066000000,0.006000000,0.507000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-T01_SHOULDER_CROSS_TUBE,FABRICATION CAD DENSITY SCREEN,T01_SHOULDER_CROSS_TUBE,torso,6061-T6/T651 2.5 MM WALL MACHINED OR EXTRUDED CANDIDATE,2700.0,42476.257935,0.114685896,0.114685896,0.114685896,-0.000000000,-0.000000000,0.578000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-P01_PELVIS_PLATE_FRONT,FABRICATION CAD DENSITY SCREEN,P01_PELVIS_PLATE_FRONT,base_link,6061-T651 WINDOWED PLATE CANDIDATE,2700.0,23179.462147,0.062584548,0.062584548,0.062584548,0.000000000,-0.031000000,0.386000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-P01_PELVIS_PLATE_REAR,FABRICATION CAD DENSITY SCREEN,P01_PELVIS_PLATE_REAR,base_link,6061-T651 WINDOWED PLATE CANDIDATE,2700.0,23179.462147,0.062584548,0.062584548,0.062584548,0.000000000,0.031000000,0.386000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-P01_WAIST_BRIDGE,FABRICATION CAD DENSITY SCREEN,P01_WAIST_BRIDGE,base_link,6061-T651 6 MM WINDOWED PLATE CANDIDATE,2700.0,26281.892719,0.070961110,0.070961110,0.070961110,-0.000000000,-0.000000000,0.414000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-N01_NECK_TUBE,FABRICATION CAD DENSITY SCREEN,N01_NECK_TUBE,neck_pan_link,6061-T6/T651 TUBE OR MACHINED CANDIDATE,2700.0,26820.160952,0.072414435,0.072414435,0.072414435,-0.000000000,-0.000000000,0.625000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-P01_RESTRAINT_BRIDGE,FABRICATION CAD DENSITY SCREEN,P01_RESTRAINT_BRIDGE,base_link,6061-T651 PLATE CANDIDATE,2700.0,13745.014642,0.037111540,0.037111540,0.037111540,-0.000000000,0.031000000,0.410000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-L01_SHIN_SIDE_FRONT,FABRICATION CAD DENSITY SCREEN,L01_SHIN_SIDE_FRONT,L_shin,6061-T651 3 MM WINDOWED PLATE CANDIDATE,2700.0,11734.881237,0.031684179,0.031684179,0.031684179,0.062500000,-0.020000000,0.127500000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
FAB-L01_THIGH_SIDE_FRONT,FABRICATION CAD DENSITY SCREEN,L01_THIGH_SIDE_FRONT,L_thigh,6061-T651 3 MM WINDOWED PLATE CANDIDATE,2700.0,13397.612325,0.036173553,0.036173553,0.036173553,0.062500000,-0.020000000,0.295000000,"candidate CAD volume times stated density; material, manufacturing and received mass unverified",GEOMETRIC MATERIAL SCREEN ONLY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
