item_id,function,manufacturer,candidate,quantity,planning_allowance_usd_each,selection_state,authority
HR30-BOM-001,hip/knee actuator,ROBOTIS,XH540-W270-R evaluation candidate,8,525,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-002,waist/shoulder-pitch actuator,ROBOTIS,XM540-W270-R candidate,3,355,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-003,shoulder-roll/elbow/ankle actuator,ROBOTIS,XM430-W350-R candidate,8,250,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-004,head/gripper/wrist actuator,ROBOTIS,XC330-T288-T candidate,6,105,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-005,main compute,Raspberry Pi,Raspberry Pi 5 8GB SC1112 candidate,1,125,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-006,compute cooling,Raspberry Pi,Active Cooler SC1148 candidate,1,12,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-007,compute storage,Kingston,SDCIT2/64GBSP candidate,1,55,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-008,motion controller,SELECTION REQUIRED,STM32H743-class controller board,1,120,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-009,independent watchdog,Raspberry Pi,Pico 1 SC0915 candidate; non-safety-rated,1,8,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-010,RS-485 interfaces,ROBOTIS/custom,U2D2 or isolated transceiver equivalent per segment,5,45,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-011,face display,Waveshare,"4inch HDMI LCD (H), SKU 16340, rotated landscape; installed envelope/mass modeled",1,85,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
