assembly_step,parallel_group,module_id,prerequisite_modules,candidate_operation,required_unpowered_checkpoint,release_state,warning
1,A,F01,NONE,"Assemble left sole carrier, top bridge, contact layers and removable cover.",Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
1,B,F02,NONE,"Assemble right sole carrier, top bridge, contact layers and removable cover.",Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
2,A,L01,F01,Build ankle-to-hip left leg stack around released axes and connect foot interface.,Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
2,B,L02,F02,Build ankle-to-hip right leg stack around released axes and connect foot interface.,Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
3,A,P01,L01; L02,Join both hip stacks to pelvis frame; install waist and uncredited restraint bridge.,Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
4,A,T01,P01,"Install torso rails, shoulder crossmember, compute bay and waist output interface.",Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
5,A,N01,T01,Install neck pan/tilt stack and moving head harness loop.,Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
6,A,H01,N01,"Install screen-face head shell, cameras, microphones, speakers and rear service cover.",Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
7,A,A01,T01,"Install left shoulder gimbal, upper arm, elbow, forearm and wrist.",Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
7,B,A02,T01,"Install right shoulder gimbal, upper arm, elbow, forearm and wrist.",Interface datums/fasteners/free motion/stop clearance/continuity-isolation/mass record; exact criteria require released build traveler.,ASSEMBLY SEQUENCE CANDIDATE - NO ASSEMBLY OR POWERED-WORK AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
