reference,field,expected_value,native_kicad_value,match,field_visible,release_effect,warning
UDRV1,Manufacturer,Texas Instruments,Texas Instruments,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,ManufacturerPartNumber,TPL7407LPWR,TPL7407LPWR,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,PackageCode,PW / TSSOP-16,PW / TSSOP-16,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,PrimaryDocument,TPL7407L datasheet SLRS066D,TPL7407L datasheet SLRS066D,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,PrimaryDocumentRevisionDate,Revision D / March 2016,Revision D / March 2016,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,PackageDrawing,PW0016A; drawing 4220204/B; December 2023,PW0016A; drawing 4220204/B; December 2023,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,LandBasis,"TI TPL7407L example board layout; 0.45 x 1.50 mm pads, 0.65 mm pitch, 5.80 mm row-center spacing","TI TPL7407L example board layout; 0.45 x 1.50 mm pads, 0.65 mm pitch, 5.80 mm row-center spacing",TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,AssemblyProcess,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,Manufacturer,Texas Instruments,Texas Instruments,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
