hold_id,hold,state,closure_evidence,release_effect,warning
R278-H01,Qualified reviewer accepts the exact-normal coordinate transforms and sign conventions against the P0.13 assembly,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H02,"Mesh refinement/local stress convergence is demonstrated at the pocket edges, rail roots and restrained holes",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H03,"Nonlinear one-rail and two-rail C06/C07 contact includes edge contact, pad compression, metal backup, friction, tolerance and first-contact mismatch",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H04,"A04 and frame/extrusion joined-load model includes exact received hardware, preload, slip, bearing, prying, separation and flexibility",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H05,"Received 6061-T651 lot, MTR, orientation, machining effects, surface condition and qualified allowables/factors are accepted",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H06,"Accepted inertia, approach/fault speed, motor-current/torque decay, force-stroke and event spectrum drive an energy-based transient analysis",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H07,"Deflection, overtravel, rebound, fatigue, damage and stopping-time/angle acceptance limits are allocated and verified",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H08,"Pad-absent, one-pad, bottom-out and pad-migration fault cases correlate to guarded physical force/strain/angle/current tests",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H09,"P0.13 DFM, dependent pocket depth, inspection, mass/COM and guard/cable envelopes are accepted",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R278-H10,"Configuration-bound qualified release and separate fabrication, assembly and powered-work authorities are signed",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
