hold_id,scope,open_item,evidence_needed,warning
E2-HOLD-001,SITE,"Exact Boston site, receptacle, branch/GFCI basis, cords, LOTO and exclusion zone",Accepted site record and qualified electrical disposition,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-002,RECEIVING,Received identities and markings for every installed candidate,Signed receiving records with photographs and traceability,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-003,OPERATOR MAPPING,"S1 RESET, S2 ARM and H1 terminals remain TBD",Executed receiving/continuity procedures and independent comparison,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-004,24 V INTERFACE,PSU2 factory locking cord and J24 catalog/topology candidate are frozen but not application or physically released,"Received GlobTek YL4/KPPX-4P-or-equal plug identity and fit to exact Kycon jack; Q-NA blade retention; polarity/continuity; load/startup/brownout; PCB/harness, cutout, retention and strain-relief proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-005,PROTECTION,F24 and FSR1/FSR2 protection/link selections and coordination are open,"Fault current, inrush, time-current, conductor and device coordination",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-006,CONDUCTORS,"Wire, ferrule/lug, labels, glands and door loom not released","Lengths, ambient, bundling, ampacity, voltage drop, connector limits, termination qualification and jurisdiction",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-007,ENCLOSURE,"Holes, rail/duct cuts, entries, touch protection and bonding not released","Received measurements, drawings, fabrication inspection and qualified enclosure review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-008,WATCHDOG PCB,PCB-P0.5 has no manufacturing release,"Supplier acceptance, fabrication package, bare-board test, assembly, HIL/fault/EMC/thermal evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-009,FIRMWARE,Watchdog and supervisor release images not accepted,"Immutable hashes, review, HIL/fault results and configuration record",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-010,TEST EQUIPMENT,"No exact instruments, calibration or numerical limits accepted","Instrument register, calibration evidence, CAT/isolation suitability and approved limits",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-011,AUTHORIZATION,No four-role run authorization,"Test director, qualified electrical reviewer, functional-safety reviewer and independent witness signatures",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
E2-HOLD-012,ACTUATOR EXCLUSION,Absence of the complete 12 V path not physically proven,Signed configuration inspection and live-dead-live evidence before E2,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
