capability_id,feature,p0_3_value,provider_published_value,screen_result,required_closure,official_source,source_locator,source_accessed,provider_selected,upload_authorized,warning
CAP-001,copper layers,4,2-36 layers,INTERNAL SCREEN PASS,provider configuration response still required,https://www.macrofab.com/capabilities,"lines 30-36, 62-65",2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-002,board dimensions,100 x 60 mm,maximum 378.46 x 378.46 mm,INTERNAL SCREEN PASS,panelization and tooling rails open,https://www.macrofab.com/capabilities,lines 104-108,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-003,board thickness,1.6 mm,1.6 mm standard; +/-10% at >=1.6 mm,INTERNAL SCREEN PASS,finished stackup and tolerance acceptance open,https://www.macrofab.com/capabilities,"lines 110-114, 204-208",2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-004,leadless package pitch,0.45 mm RPW QFN,0.3 mm minimum QFN/TQFN pitch,INTERNAL SCREEN PASS,exact RPW footprint and process review open,https://www.macrofab.com/capabilities,lines 155-159,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-005,assembly mix,SMD plus PTH,SMD and through-hole supported,INTERNAL SCREEN PASS,process order and hand/selective solder response open,https://www.macrofab.com/capabilities,lines 145-153,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-006,minimum routed track,0.180 mm,0.0762 mm minimum,INTERNAL SCREEN PASS,provider CAM measurement required,https://www.macrofab.com/capabilities,lines 186-193,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-007,minimum clearance rule,0.100 mm,0.0762 mm minimum,INTERNAL SCREEN PASS,0.0238 mm rule margin; actual CAM DFM required,https://www.macrofab.com/capabilities,lines 186-193,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-008,minimum via drill,0.300 mm,0.1016 mm minimum drill,INTERNAL SCREEN PASS,finished drill and plating response open,https://www.macrofab.com/capabilities,lines 190-195,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-009,minimum via annular ring,0.150 mm,0.0762 mm minimum,INTERNAL SCREEN PASS,provider CAM measurement required,https://www.macrofab.com/capabilities,lines 190-195,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-010,minimum RPW paste aperture width,0.225 mm,0.1524 mm minimum,INTERNAL SCREEN PASS,stencil thickness and area-ratio review open,https://www.macrofab.com/capabilities,lines 197-198,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-011,distinct RPW paste gap,0.200 mm minimum; compound L apertures overlap intentionally,0.1524 mm clearance,PARTIAL - PROVIDER RESPONSE REQUIRED,confirm compound aperture union and stencil web,https://www.macrofab.com/capabilities,lines 197-198,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-012,minimum RPW soldermask dam,0.100 mm,0.100 mm minimum,PARTIAL - AT PUBLISHED LIMIT,no tolerance margin; provider acceptance mandatory,https://www.macrofab.com/capabilities,lines 199-203,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
CAP-013,native soldermask dam rule,0.100 mm,0.100 mm minimum,INTERNAL RULE CORRECTED TO LIMIT,P0.2 0.05 mm rule superseded by P0.3,https://www.macrofab.com/capabilities,lines 199-203,2026-08-09,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
