question_id,question,required_response,state,warning
Q-01,Will GAM quote one first article and five evaluation articles of the attached cavity-2-empty EHR-3 to EHR-3 harness?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-02,"Can GAM manufacture the requested 500 +/- 5 mm finished datum, and how does that datum relate to GAM inside and overall dimensions?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-03,"Can GAM use Belden 3051 BK005 and WH005; if not, what exact controlled black/white 22 AWG substitute is proposed?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-04,Does the proposed wire fall within the controlled SEH-001T-P0.6 conductor and insulation crimp ranges?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-05,Can GAM populate cavities 1 and 3 only and certify cavity 2 contains neither contact nor conductor at both ends?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-06,Can GAM produce and inspect a 25 +/- 5 mm pair lay without damaging the contact exits or violating bend limits?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-07,What provider part number and drawing revision would control the finished harness?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-08,What crimping machine/applicator/tool identity and controlled specification govern this wire/contact combination?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-09,"Can GAM return numeric strip/crimp/pull limits, or instead a signed conformity statement to the controlled JST process and validation basis?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-10,What production sampling and destructive pull/cross-section evidence can accompany the first article without destructively testing shipped articles?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-11,What 100 percent continuity/isolation/population tests are performed and what method/limits/report can be supplied?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-12,"Can GAM supply lot/work-order traceability and a certificate of conformance for housings, contacts, wire and processing?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-13,"What workmanship standard, retention inspection, wire-exit support and damage criteria are used?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-14,"What label materials/locations are available for HAR-CTRL, END A U2D2 and END B JC1?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-15,What packaging protects friction-lock housings and contacts during shipment?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-16,"What are MOQ, first-article/nonrecurring charges, unit prices, lead time, quote validity and shipping terms to Boston, Massachusetts?",written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-17,Will custom harness material or process substitutions require written customer approval before manufacture?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
Q-18,What additional application information does GAM require before accepting the build?,written attributable response plus cited drawing/specification where applicable,UNSENT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
