branch_cable_id,axis_id,corridor,bus_id,protected_output,positive_net,return_net,candidate_part,construction,candidate_current_cap_a,published_stall_endpoint_a,upstream_joint_crossings,electrical_splices_between_protection_and_transition,fixed_transition,state,authority,warning
DB-WAIST_YAW,WAIST_YAW,HN01_TORSO_POWER_SPINE,RS-WAIST,WPS-RS-WAIST CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 2.499010 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,WAIST_YAW_VDD,RS-WAIST_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,2.499010,4.400,1,0,TR-WAIST_YAW,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-HEAD_PAN,HEAD_PAN,HN01_HEAD_POWER_BRANCH,TTL-HEAD,WPS-TTL-HEAD CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 0.700000 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,HEAD_PAN_VDD,TTL-HEAD_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,0.700000,0.880,1,0,TR-HEAD_PAN,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-HEAD_TILT,HEAD_TILT,HN01_HEAD_POWER_BRANCH,TTL-HEAD,WPS-TTL-HEAD CHANNEL 2; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 0.700000 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,HEAD_TILT_VDD,TTL-HEAD_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,0.700000,0.880,2,0,TR-HEAD_TILT,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_SHOULDER_PITCH,L_SHOULDER_PITCH,HN01_L_ARM_POWER,RS-LARM,WPS-RS-LARM CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,L_SHOULDER_PITCH_VDD,RS-LARM_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,1.998670,2.300,1,0,TR-L_SHOULDER_PITCH,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_SHOULDER_ROLL,L_SHOULDER_ROLL,HN01_L_ARM_POWER,RS-LARM,WPS-RS-LARM CHANNEL 2; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,L_SHOULDER_ROLL_VDD,RS-LARM_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,1.998670,2.300,2,0,TR-L_SHOULDER_ROLL,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_ELBOW_PITCH,L_ELBOW_PITCH,HN01_L_ARM_POWER,RS-LARM,WPS-RS-LARM CHANNEL 3; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,L_ELBOW_PITCH_VDD,RS-LARM_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,1.998670,2.300,3,0,TR-L_ELBOW_PITCH,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_WRIST_ROTATION,L_WRIST_ROTATION,HN01_L_ARM_POWER,TTL-LDIST,WPS-TTL-LDIST CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 0.700000 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,L_WRIST_ROTATION_VDD,TTL-LDIST_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,0.700000,0.880,4,0,TR-L_WRIST_ROTATION,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_GRIPPER,L_GRIPPER,HN01_L_ARM_POWER,TTL-LDIST,WPS-TTL-LDIST CHANNEL 2; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 0.700000 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,L_GRIPPER_VDD,TTL-LDIST_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,0.700000,0.880,5,0,TR-L_GRIPPER,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-R_SHOULDER_PITCH,R_SHOULDER_PITCH,HN01_R_ARM_POWER,RS-RARM,WPS-RS-RARM CHANNEL 1; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,R_SHOULDER_PITCH_VDD,RS-RARM_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,1.998670,2.300,1,0,TR-R_SHOULDER_PITCH,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-R_SHOULDER_ROLL,R_SHOULDER_ROLL,HN01_R_ARM_POWER,RS-RARM,WPS-RS-RARM CHANNEL 2; PAIRED OPPOSING TPS259482LYWPR CANDIDATES; INTERNAL CAP 1.998670 A; PCB / BRAKE-DUMP / PHYSICAL VALIDATION OPEN,R_SHOULDER_ROLL_VDD,RS-RARM_RET,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; unshielded PVC moving cable,1.998670,2.300,2,0,TR-R_SHOULDER_ROLL,"DIRECT INDIVIDUALLY PROTECTED BRANCH CANDIDATE; CUT LENGTH, CRIMP, DERATING AND PHYSICAL PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
