crossing_id,branch_cable_id,corridor,joint_axis,destination_axis,stage,parallel_pair_index,parallel_pair_count,crosses_destination_axis,candidate_part,conductor_configuration,maximum_hr30_channel_cap_a,application_ampacity_state,outer_diameter_max_mm,continuous_flex_radius_factor_d,continuous_flex_radius_mm,service_life_input,joint_range,nominal_joint_arc_deg,actual_cut_length,state,authority,warning
DB-WAIST_YAW-AT-WAIST_YAW,DB-WAIST_YAW,HN01_TORSO_POWER_SPINE,WAIST_YAW,WAIST_YAW,1,1,1,YES,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,2.499010,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,speed <=15 deg/s in HR-30A,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-HEAD_PAN-AT-HEAD_PAN,DB-HEAD_PAN,HN01_HEAD_POWER_BRANCH,HEAD_PAN,HEAD_PAN,1,1,2,YES,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,0.700000,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-HEAD_TILT-AT-HEAD_PAN,DB-HEAD_TILT,HN01_HEAD_POWER_BRANCH,HEAD_PAN,HEAD_TILT,1,2,2,NO - CONTINUES TO DISTAL AXIS,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,0.700000,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-HEAD_TILT-AT-HEAD_TILT,DB-HEAD_TILT,HN01_HEAD_POWER_BRANCH,HEAD_TILT,HEAD_TILT,2,1,1,YES,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,0.700000,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_SHOULDER_PITCH-AT-L_SHOULDER_PITCH,DB-L_SHOULDER_PITCH,HN01_L_ARM_POWER,L_SHOULDER_PITCH,L_SHOULDER_PITCH,1,1,5,YES,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,1.998670,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH,DB-L_SHOULDER_ROLL,HN01_L_ARM_POWER,L_SHOULDER_PITCH,L_SHOULDER_ROLL,1,2,5,NO - CONTINUES TO DISTAL AXIS,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,1.998670,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_ELBOW_PITCH-AT-L_SHOULDER_PITCH,DB-L_ELBOW_PITCH,HN01_L_ARM_POWER,L_SHOULDER_PITCH,L_ELBOW_PITCH,1,3,5,NO - CONTINUES TO DISTAL AXIS,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,1.998670,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_WRIST_ROTATION-AT-L_SHOULDER_PITCH,DB-L_WRIST_ROTATION,HN01_L_ARM_POWER,L_SHOULDER_PITCH,L_WRIST_ROTATION,1,4,5,NO - CONTINUES TO DISTAL AXIS,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,0.700000,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_GRIPPER-AT-L_SHOULDER_PITCH,DB-L_GRIPPER,HN01_L_ARM_POWER,L_SHOULDER_PITCH,L_GRIPPER,1,5,5,NO - CONTINUES TO DISTAL AXIS,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,0.700000,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DB-L_SHOULDER_ROLL-AT-L_SHOULDER_ROLL,DB-L_SHOULDER_ROLL,HN01_L_ARM_POWER,L_SHOULDER_ROLL,L_SHOULDER_ROLL,2,1,4,YES,CF130.03.02.UL,2 x 22 AWG / 0.34 mm2; one protected VDD and return pair; no intermediate splice,1.998670,UNVERIFIED - NO HR-30 BUNDLE/CONNECTOR/TEMPERATURE RELEASE,5.000,7.5,37.500,5000000 double strokes at +15..+60 C and 7.5xd manufacturer table boundary,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL DIRECT-BRANCH CROSSING; FULL-RANGE BEND/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
