guard_id,axis_id,guard_type,covers,internal_width_mm,internal_height_mm,wall_mm,material_candidate,joint_spanning,cad_solid,state,authority,warning
GD-WAIST_YAW-LINK,WAIST_YAW,RIGID LINK-LOCAL U-CHANNEL,1 direct branch pairs on rigid link; stops before axis,9.000,9.000,1.500,printed PA12 or machined polymer; selection required,NO,GD-WAIST_YAW_LINK_GUARD,"DIMENSIONED CAD CANDIDATE; FASTENERS, ACCESS, IMPACT AND COLLISION OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-WAIST_YAW-FLEX,WAIST_YAW,FLEXIBLE JOINT DRESS-PACK ENVELOPE,120-degree nominal arc for 1 independent CF130 pairs,9.000,9.000,1.500,corrugated TPU or textile dress-pack sleeve; selection required,YES - FLEXIBLE ONLY; NO RIGID SHELL ACROSS AXIS,GD-WAIST_YAW_FLEX_GUARD,"DIMENSIONED NOMINAL ENVELOPE; CORRUGATION, ATTACHMENT, PINCH AND FATIGUE PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-HEAD_PAN-LINK,HEAD_PAN,RIGID LINK-LOCAL U-CHANNEL,2 direct branch pairs on rigid link; stops before axis,15.500,9.000,1.500,printed PA12 or machined polymer; selection required,NO,GD-HEAD_PAN_LINK_GUARD,"DIMENSIONED CAD CANDIDATE; FASTENERS, ACCESS, IMPACT AND COLLISION OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-HEAD_PAN-FLEX,HEAD_PAN,FLEXIBLE JOINT DRESS-PACK ENVELOPE,120-degree nominal arc for 2 independent CF130 pairs,15.500,9.000,1.500,corrugated TPU or textile dress-pack sleeve; selection required,YES - FLEXIBLE ONLY; NO RIGID SHELL ACROSS AXIS,GD-HEAD_PAN_FLEX_GUARD,"DIMENSIONED NOMINAL ENVELOPE; CORRUGATION, ATTACHMENT, PINCH AND FATIGUE PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-HEAD_TILT-LINK,HEAD_TILT,RIGID LINK-LOCAL U-CHANNEL,1 direct branch pairs on rigid link; stops before axis,9.000,9.000,1.500,printed PA12 or machined polymer; selection required,NO,GD-HEAD_TILT_LINK_GUARD,"DIMENSIONED CAD CANDIDATE; FASTENERS, ACCESS, IMPACT AND COLLISION OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-HEAD_TILT-FLEX,HEAD_TILT,FLEXIBLE JOINT DRESS-PACK ENVELOPE,120-degree nominal arc for 1 independent CF130 pairs,9.000,9.000,1.500,corrugated TPU or textile dress-pack sleeve; selection required,YES - FLEXIBLE ONLY; NO RIGID SHELL ACROSS AXIS,GD-HEAD_TILT_FLEX_GUARD,"DIMENSIONED NOMINAL ENVELOPE; CORRUGATION, ATTACHMENT, PINCH AND FATIGUE PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-L_SHOULDER_PITCH-LINK,L_SHOULDER_PITCH,RIGID LINK-LOCAL U-CHANNEL,5 direct branch pairs on rigid link; stops before axis,35.000,9.000,1.500,printed PA12 or machined polymer; selection required,NO,GD-L_SHOULDER_PITCH_LINK_GUARD,"DIMENSIONED CAD CANDIDATE; FASTENERS, ACCESS, IMPACT AND COLLISION OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-L_SHOULDER_PITCH-FLEX,L_SHOULDER_PITCH,FLEXIBLE JOINT DRESS-PACK ENVELOPE,120-degree nominal arc for 5 independent CF130 pairs,35.000,9.000,1.500,corrugated TPU or textile dress-pack sleeve; selection required,YES - FLEXIBLE ONLY; NO RIGID SHELL ACROSS AXIS,GD-L_SHOULDER_PITCH_FLEX_GUARD,"DIMENSIONED NOMINAL ENVELOPE; CORRUGATION, ATTACHMENT, PINCH AND FATIGUE PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-L_SHOULDER_ROLL-LINK,L_SHOULDER_ROLL,RIGID LINK-LOCAL U-CHANNEL,4 direct branch pairs on rigid link; stops before axis,28.500,9.000,1.500,printed PA12 or machined polymer; selection required,NO,GD-L_SHOULDER_ROLL_LINK_GUARD,"DIMENSIONED CAD CANDIDATE; FASTENERS, ACCESS, IMPACT AND COLLISION OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GD-L_SHOULDER_ROLL-FLEX,L_SHOULDER_ROLL,FLEXIBLE JOINT DRESS-PACK ENVELOPE,120-degree nominal arc for 4 independent CF130 pairs,28.500,9.000,1.500,corrugated TPU or textile dress-pack sleeve; selection required,YES - FLEXIBLE ONLY; NO RIGID SHELL ACROSS AXIS,GD-L_SHOULDER_ROLL_FLEX_GUARD,"DIMENSIONED NOMINAL ENVELOPE; CORRUGATION, ATTACHMENT, PINCH AND FATIGUE PROOF OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
