axis_id,family_id,part_id,source_basis,authority,feature_id,feature_type,nominal_geometry,candidate_requirement,state
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_ACTUATOR_OUTPUT_COUPLER,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,ACTUATOR_INTERFACE,spline/horn/clamp,ABSENT FROM CURRENT SOLID,exact actuator product interface and secondary retention required,BLOCKING REDESIGN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_ACTUATOR_OUTPUT_COUPLER,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,OUTPUT_INTERFACE,shaft/rack/tendon interface,ABSENT OR PACKAGING-ONLY,released torque/load path required,BLOCKING REDESIGN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_BEARING_B_RING,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,CATALOGUE_ENVELOPE,bearing,ID 6.000 / OD 15.000 / W 5.000 mm,"exact suffix, life, fit, lubrication and received identity SELECTION REQUIRED",CATALOGUE SELECTION OPEN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_INTERFACE_PLATE_B,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,PLATE_ENVELOPE,size,36.000 x 38.000 x 3.000 mm,general tolerance and flatness SELECTION REQUIRED,OPEN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_INTERFACE_PLATE_B,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,MOUNT_PATTERN,hole pattern,4 x DIA 3.400 on 26.000 x 28.000 mm,"tapped side, insert, clearance and true position SELECTION REQUIRED",OPEN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_INTERFACE_PLATE_B,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,CENTRAL_CLEARANCE,diameter,6.000 mm nominal,bearing seat/shaft clearance function SELECTION REQUIRED,OPEN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_OUTPUT_SHAFT,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,SHAFT_OD,diameter,6.000 mm,"bearing fit, finish and runout SELECTION REQUIRED",OPEN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_OUTPUT_SHAFT,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,THROUGH_BORE,diameter,3.720 mm,wall/strength and cable use SELECTION REQUIRED,OPEN
HEAD_PAN,JMF-01-COMPACT,JMOD_HEAD_PAN_OUTPUT_SHAFT,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,AXIAL_RETENTION,shoulder/groove/thread,ABSENT FROM CURRENT SOLID,add two-sided bearing shoulders and released retention,BLOCKING REDESIGN
HEAD_TILT,JMF-01-COMPACT,JMOD_HEAD_TILT_ACTUATOR_OUTPUT_COUPLER,SHA-BOUND BODY-ARCHITECTURE GENERATOR / JOINT_MODULE_FAMILIES,NO PROCUREMENT OR FABRICATION AUTHORITY,ACTUATOR_INTERFACE,spline/horn/clamp,ABSENT FROM CURRENT SOLID,exact actuator product interface and secondary retention required,BLOCKING REDESIGN
