component,family,minimum_z_mm,minimum_q1_deg,minimum_q2_deg,minimum_corner_xyz_mm,maximum_z_mm,maximum_q1_deg,maximum_q2_deg,method,boundary
J1_H101,upper,474.020273481004,-20.000000000000,,-26.500000000000;32.000000000000;-16.000000000000,535.777087639997,63.434948822922,,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
UPPER_PROX_ADAPTER,upper,467.003761132683,-20.000000000000,,-24.000000000000;41.525000000000;-20.000000000000,546.090407082168,64.282786631257,,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
UPPER_20-2040,upper,432.801746800117,-20.000000000000,,-10.000000000000;141.525000000000;-20.000000000000,639.830401023239,70.000000000000,,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
J2_FIXED_CATCH_ADAPTER,upper,429.544004934940,-20.000000000000,,-42.000000000000;151.050000000000;-20.000000000000,649.465013522876,70.000000000000,,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
J2_XM540,upper,410.281191506525,-20.000000000000,,-28.050000000001;216.300000000000;-16.750000100000,708.984351310899,70.000000000000,,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
J2_S102,upper,428.386667244457,-20.000000000000,,-24.000000000000;164.050000000000;-16.500000000000,659.799906804802,70.000000000000,,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
J2_H101,fore,411.995721031993,-20.000000000000,15.000000000000,-26.500000000000;234.550000000000;-16.000000000000,726.111827980182,70.000000000000,46.565051177078,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
J2_MOVING_STRIKER_ADAPTER,fore,407.180783789954,-20.000000000000,15.000000000000,-41.000000000000;244.075000000000;-20.000000000000,736.425147422354,70.000000000000,45.717213368743,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
FOREARM_20-2040,fore,402.822996652571,-20.000000000000,15.000000000000,-10.000000000000;294.075000000000;-20.000000000000,784.019454274744,70.000000000000,32.326484746213,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
H104_DISTAL_ADAPTER,fore,401.992838202900,-20.000000000000,15.000000000000,-24.000000000000;303.600000000000;-20.000000000000,793.344946145242,70.000000000000,31.195395609001,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
H104_FRAME,fore,384.142618886401,-20.000000000000,15.000000000000,-20.500000050098;334.100000000000;-35.250000016860,826.525654138385,70.000000000000,35.000521674483,closed-form trigonometric extrema on all rectangle boundaries,conservative source-BRep AABB corners only; complete gripper/cables/tolerances excluded
