hold_id,hold,state,execution,release_effect,warning
R276-H01,"Current supplier quote, exact 2300327 identity, lot and CoC accepted",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H02,"Incoming thickness, coupon geometry and captive retention pass inspection",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H03,"Installed protrusion and metal-backup gap are dimensioned, toleranced and accepted",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H04,Exact contact point/normal/work path through tolerance and deformation are accepted,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H05,As-built inertia including reflected rotor is measured and accepted,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H06,Maximum approach/fault speed and current/torque decay are measured,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H07,"Dynamic force-stroke, hysteresis, bottom-out and rebound are characterized",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H08,"Temperature, aging, contamination, compression-set and life limits are qualified",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H09,Single-rail and twin-rail tests correlate with accepted nonlinear model,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H10,Metal backup C06/C07 and full joined load path are accepted independently,OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H11,"Guard/overtravel/pinch envelope includes pad tolerance, loss and failure",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R276-H12,"Qualified release plus separate procurement, assembly and powered-work authorities are signed",OPEN,NOT EXECUTED,BLOCKS PAD SELECTION AND MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
