source_id,manufacturer,title,revision_or_date,accessed,url,use,boundary
REC2-SRC-001,ACE Controls Inc.,MA30M product page,live page; no formal revision exposed,2026-08-09,https://www.acecontrols.com/us/products/automation-control/miniature-shock-absorbers/ma30-to-ma900/ma30m.html,"M8x1, 0.32 in stroke, energy/effective-weight/velocity endpoints, integrated positive stop",application acceptance required
REC2-SRC-002,ACE Stossdaempfer GmbH,MA30-MA900 operating and mounting instructions,21_22_0019; Stand 03.2021; Issue 05.2022,2026-08-09,https://www.acecontrols.com/media/msimages/pdf/ACE_MA30-MA900_Operating-Mounting_EN_21_22_0019.pdf,"axial load, parallel-unit and additional-safety-element boundaries",manufacturer instructions are not project approval
REC2-SRC-003,igus,drylin T standard rail product page,live page; no formal revision exposed,2026-08-09,https://www.igus.com/product/drylin_TS_01,"TS-01 family, hard-anodized aluminum, length and hole options",configured 120 mm code not inferred
REC2-SRC-004,igus,drylin T automatic-clearance carriage product page,live page; copyright 2026; no formal revision exposed,2026-08-09,https://www.igus.com/product/drylin_TWA_01,"TWA-01 family, automatic clearance and installation sequence",received size-20 CAD and application review required
REC2-SRC-005,igus,drylin T technical data,live page; no formal revision exposed,2026-08-09,https://www.igus.com/linear-bearings/linear-guides-technical-data-drylin-t,01-20 static capacity table,"shock, acceleration and system moments require application calculation"
REC2-SRC-006,80/20 Inc.,20-2020 product page,live page; copyright 2026; no formal revision exposed,2026-08-09,https://8020.net/20-2020.html,exact profile identity and published section data,configured cuts and joint proof open
REC2-SRC-007,80/20 Inc.,20-2040 product page,live page; no formal revision exposed,2026-08-09,https://8020.net/20-2040.html,exact profile identity and published section data,configured cuts and joint proof open
REC2-SRC-008,80/20 Inc.,20-4113 product page,live page; copyright 2026; no formal revision exposed,2026-08-09,https://8020.net/20-4113.html,bracket dimensions and suggested 11-5308/14122 hardware,no joint allowable published on page
REC2-SRC-009,Sorbothane Inc.,12 x 12 in sheet-stock product page,live page; copyright 2026; no formal revision exposed,2026-08-09,https://www.sorbothane.com/sorbothane-products/standard-industrial-products/product/sheet-stock-12-x-12/,"0212037-50-10 identity, size, durometer and thickness tolerance",typical material/application claims are not acceptance limits
REC2-SRC-010,ASTM International,B209/B209M aluminum sheet and plate standard listing,B209/B209M-21a listed active at access,2026-08-09,https://store.astm.org/products-services/standards-and-publications/standards/nonferrous-metal-standards-and-nonferrous-alloy-standards.html,candidate material procurement standard identity,purchase-order edition and supplier certificate remain required
