item,quantity,manufacturer,part_or_drawing,description,selection_state
REC-BOM-001,1,FABRICATED,FAB-REC-001,180 x 800 x 6.35 mm moving platen blank; 6061-T651 candidate,"DRAWING CANDIDATE - MATERIAL CERTIFICATE, TOLERANCES AND HOLES NOT RELEASED"
REC-BOM-002,3,FABRICATED,FAB-REC-002,160 x 40 x 6.35 mm shock mount plate blank,BLANK CANDIDATE - M8x1 INTERFACE AND RETENTION NOT RELEASED
REC-BOM-003,4,FABRICATED,FAB-REC-003,20 x 50 x 6.35 mm guide interface tab blank,BLANK CANDIDATE - RECEIVED IGUS CAD AND HOLES REQUIRED
REC-BOM-004,4,SELECTION REQUIRED,SELECTION REQUIRED,independent backup stop and retained contact element,SELECTION REQUIRED - 9.625 MM NOMINAL GAP ONLY
REC-BOM-005,4,80/20 Inc.,20-2040,20 x 40 mm T-slot profile; 840 mm candidate cut length,EXACT PROFILE; CONFIGURED CUT ORDER CODE AND CUT TOLERANCE SELECTION REQUIRED
REC-BOM-006,4,80/20 Inc.,20-2020,20 x 20 mm T-slot profile; 160 mm candidate post length,EXACT PROFILE; CONFIGURED CUT ORDER CODE AND CUT TOLERANCE SELECTION REQUIRED
REC-BOM-007,2,80/20 Inc.,20-2020,20 x 20 mm T-slot profile; 140 mm lower tie length,EXACT PROFILE; CONFIGURED CUT ORDER CODE AND CUT TOLERANCE SELECTION REQUIRED
REC-BOM-008,8,80/20 Inc.,20-4113,20 Series four-hole wide inside corner bracket,EXACT CANDIDATE - JOINT STRENGTH AND PROOF OPEN
REC-BOM-009,32,80/20 Inc.,11-5308,M5 x 8 mm BHSCS suggested for 20-4113,"EXACT CANDIDATE - TORQUE, ENGAGEMENT AND REUSE POLICY OPEN"
REC-BOM-010,32,80/20 Inc.,14122,M5 slide-in economy T-nut block suggested for 20-4113,EXACT CANDIDATE - JOINT PROOF OPEN
REC-BOM-011,4,igus,TWA-01-20,drylin T automatic-clearance carriage,"EXACT CANDIDATE - RECEIVED CAD, LOAD ORIENTATION, LIFE AND APPLICATION REVIEW OPEN"
REC-BOM-012,4,igus,TS-01-20,drylin T 20 mm guide rail; 120 mm candidate configured length,EXACT FAMILY - CONFIGURED LENGTH/HOLE ORDER CODE SELECTION REQUIRED
REC-BOM-013,3,ACE Controls Inc.,MA30M,adjustable miniature shock absorber,EXACT EVALUATION CANDIDATE - ACE APPLICATION ACCEPTANCE REQUIRED
REC-BOM-014,3,Sorbothane Inc.,0212037-50-10,"12 x 12 x 0.375 in, 50-durometer sheet without PSA","EXACT MATERIAL CANDIDATE - CUT, RETENTION, DYNAMIC DEFLECTION AND SUITABILITY OPEN"
REC-BOM-015,1,SELECTION REQUIRED,SELECTION REQUIRED,contact-layer adhesive or mechanical retention system,SELECTION REQUIRED
REC-BOM-016,1,SELECTION REQUIRED,SELECTION REQUIRED,receiver-to-guard/base attachment and anchor set,SELECTION REQUIRED - SITE AND GUARD LOAD PATH OPEN
