operation,stage,method,acceptance,state
FR12-MET-01,CONFIGURATION,"Freeze repository commit, P1.1 geometry identifier, received kit/actuator identities and measurement work authorization.",One immutable configuration and named unpowered scope; no source connection or motion.,NOT EXECUTED
FR12-MET-02,RECEIVING,"Quarantine and inventory RM-X52, FR12-H101, HN12-I101, XM430 and every candidate installed fastener/spacer against official and controlled kit records.","Counts, labels, lots, photos and discrepancies recorded; articles remain segregated.",NOT EXECUTED
FR12-MET-03,SOURCE PARITY,Compare received FR12-H101 envelope and selected datums with the hash-controlled STEP/drawing without assuming material or mass.,Qualified reviewer accepts source applicability and dimensional method/uncertainty.,NOT EXECUTED
FR12-MET-04,INSTRUMENT,Select a calibrated balance with <=0.01 g readability and accepted uncertainty over the bracketing working range; run repeatability/tare checks.,"Calibration, traceability, environment, tare stability and measurement-system analysis accepted.",NOT EXECUTED
FR12-MET-05,LOOSE MASS,"Record at least ten readings each for frame alone, idler/output moving hardware group, and exact installed fastener/spacer group using the raw template.",No omitted/double-counted item; mean and expanded uncertainty calculated from an approved method.,NOT EXECUTED
FR12-HOLD-01,HOLD,"Do not temporarily assemble until exact screw length, engagement, spacer, torque, locking, reuse and teardown instructions are signed.",All instructions and stop conditions accepted; otherwise remain loose-part only.,OPEN
FR12-MET-06,ASSEMBLED MASS,"After FR12-HOLD-01, weigh the complete unpowered moving subassembly and reconcile it to the sum of individually measured items.",Difference is within the accepted combined uncertainty or a nonconformance is opened.,NOT EXECUTED
FR12-MET-07,ENVELOPE,Measure y/z extrema of every moving item about the physical J2 axis; add signed expanded coordinate uncertainty before calculating radius.,"As-built radius bound includes frame, idler, output hardware, fasteners and accepted uncertainty.",NOT EXECUTED
FR12-MET-08,COM,Measure two orthogonal reaction pairs on an accepted rigid two-support fixture; subtract fixture reactions and calculate COM from R_B*L/(R_A+R_B) plus the surveyed support-to-J2 datum.,"Mass closure, reaction sum, repeatability, fixture deflection and y/z COM uncertainty pass accepted limits.",NOT EXECUTED
FR12-MET-09,INERTIA BOUND,Calculate Ixx <= m_upper*r_upper^2 for the complete received moving subset; optionally scale the uniform frame STEP only after source/material-uniformity acceptance.,Bound and assumptions independently reproduced; no reflected-drive inertia is hidden in this row.,NOT EXECUTED
FR12-MET-10,LOAD UPDATE,"Replace LOAD-OPEN-01 only after accepted mass, COM, envelope and inertia evidence; regenerate gravity/energy/stop models from the same commit.",All hashes match and LOAD-OPEN-01 disposition is signed; other R96 inputs stay open.,NOT EXECUTED
FR12-HOLD-02,RELEASE HOLD,"Qualified mechanical/metrology review of raw data, uncertainty, reconciliation, source parity and calculations.","No fabrication, motion, connection or energization authority; disposition applies only to LOAD-OPEN-01 evidence.",OPEN
