mass_upper_g,radius_upper_mm,ixx_upper_bound_kg_m2,gravity_upper_bound_nm,status
20.000,30.463092423,0.000018560000,0.005974818,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
20.000,35.000000000,0.000024500000,0.006864655,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
20.000,40.000000000,0.000032000000,0.007845320,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
20.000,45.000000000,0.000040500000,0.008825985,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
20.000,50.000000000,0.000050000000,0.009806650,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
30.000,30.463092423,0.000027840000,0.008962227,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
30.000,35.000000000,0.000036750000,0.010296982,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
30.000,40.000000000,0.000048000000,0.011767980,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
30.000,45.000000000,0.000060750000,0.013238977,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
30.000,50.000000000,0.000075000000,0.014709975,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
40.000,30.463092423,0.000037120000,0.011949635,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
40.000,35.000000000,0.000049000000,0.013729310,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
40.000,40.000000000,0.000064000000,0.015690640,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
40.000,45.000000000,0.000081000000,0.017651970,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
40.000,50.000000000,0.000100000000,0.019613300,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
50.000,30.463092423,0.000046400000,0.014937044,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
50.000,35.000000000,0.000061250000,0.017161638,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
50.000,40.000000000,0.000080000000,0.019613300,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
50.000,45.000000000,0.000101250000,0.022064963,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
50.000,50.000000000,0.000125000000,0.024516625,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
60.000,30.463092423,0.000055680000,0.017924453,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
60.000,35.000000000,0.000073500000,0.020593965,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
60.000,40.000000000,0.000096000000,0.023535960,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
60.000,45.000000000,0.000121500000,0.026477955,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
60.000,50.000000000,0.000150000000,0.029419950,SENSITIVITY ONLY - NOT A MEASURED VALUE OR ACCEPTANCE LIMIT
