input_id,topic,controlled_value,source,state,remaining_evidence,release_effect,warning
FAB-IN-001,payload,"soft foam object; measured mass including uncertainty <=100 g; each principal dimension 40..70 mm","SYS-002; SYS-002-A02; HR-V0-OBJ-CTRL-P0.1",CONTROLLED DRAFT - INDEPENDENT ACCEPTANCE REQUIRED,"exact object/material/lot; calibrated measurement method and uncertainty; retained-object evidence","REMOVES FALSE WHOLLY-UNKNOWN LABEL; STRUCTURAL RELEASE STILL BLOCKED",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-002,duty cycle,"one object per accepted cycle; exactly 100 guarded verification cycles","SYS-002-A01; TEST-HAND-001",PARTIAL,"cycle time; moves per hour; motion/dwell/rest split; lifetime cycles; representative worst thermal and fatigue spectrum","BLOCKS DUTY FATIGUE AND THERMAL RELEASE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-003,speed and acceleration,"TCP <=0.15 m/s in every released pose; automatic joint command <=30 deg/s; setup joint speed <=10 deg/s hold-to-run","SYS-004; SYS-004-A01; SYS-004-A03; SYS-005; SYS-005-A02",PARTIAL,"pose-dependent joint-rate implementation; axis acceleration/deceleration; jerk; emergency trajectory; measured stopping and uncertainty","BLOCKS DYNAMIC LOAD STOP AND CONTROL RELEASE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-004,restraint and fall,"fixed bench-mounted architecture only","SYS-001; SAFE-009",OPEN,"base restraint geometry; anchors; tip/push/pull cases; dropped-arm and fall-arrest cases; accepted proof loads","BLOCKS RESTRAINT RELEASE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-005,safety factors,"no accepted configuration-specific factors",NONE,SELECTION REQUIRED,"qualified allocation for yield; slip; pullout; prying; fatigue; fasteners; proof and impact","BLOCKS DRAWING AND STRUCTURAL RELEASE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-006,C05 T-slot joint,"catalog compatibility only",HR-V0-MECH-DFM-DATA-P0.1,OPEN,"manufacturer application disposition or reviewed calculation plus physical slip/pullout/prying proof","BLOCKS C05 RELEASE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-007,C06/C07 stop loads,"geometry controlled; load and bumper selection open","HR-V0-ARM-ARCH-P0.7; HR-V0-J2-STOP-P0.1",OPEN,"accepted bumper part; force-stroke and energy; retained contact/load/tolerance analysis; physical proof","BLOCKS C06/C07 RELEASE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-008,material traceability,"6061-T651 candidate required","HR-V0-MECH-DFM-DATA-P0.1; HR-V0-BOSTON-FAB-ROUTE-P0.3",OPEN,"provider written acceptance; exact stock condition; substitution prohibition; material test report and receiving evidence","BLOCKS FIRST ARTICLE ACCEPTANCE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-009,inspection data,"FAI controls defined; provider acceptance absent",HR-V0-MECH-DWG-P0.1,OPEN,"written acceptance of every control; calibrated method; CMM report; C07 surface map; qualified disposition","BLOCKS FIRST ARTICLE ACCEPTANCE",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
FAB-IN-010,work authorization,"no contact upload quote or fabrication authority",NONE,NOT AUTHORIZED,"separate signed capability inquiry followed by first-article authorization after preceding reviews","BLOCKS ALL EXTERNAL ACTION",PRELIMINARY - NOT APPROVED FOR QUOTATION FABRICATION MOTION OR ENERGIZATION
