reference,rail,manufacturer,manufacturer_part_number,description,footprint,fitted_p0_1,selection_state,primary_source,evidence,procurement_released,warning
JI1,COMPUTE,JST,B3P-VH-B,COMPUTE 12 V input and active-low disable,Connector_JST:JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,YES,EXACT CANDIDATE,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,"contact map is project-owned; conductor, mating housing, contact and derating validation remain open",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F1,COMPUTE,SELECTION REQUIRED,SELECTION REQUIRED,COMPUTE input fuse - SELECTION REQUIRED,HR30_AUX:AUX_SELECTION_BLOCK,YES,SELECTION REQUIRED,SELECTION REQUIRED,"fault current, inrush, ambient, conductor and clearing coordination required",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
RP1,COMPUTE,SELECTION REQUIRED,SELECTION REQUIRED,COMPUTE reverse-polarity and inrush block - SELECTION REQUIRED,HR30_AUX:AUX_SELECTION_BLOCK,YES,SELECTION REQUIRED,https://recom-power.com/en/rec-s-REC30E-Z.html,RECOM states reverse polarity is not internal and high-power battery inputs require external protection/inrush control,NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
U1,COMPUTE,RECOM,REC30E-2405SZ,REC30E-2405SZ COMPUTE isolated converter,HR30_AUX:REC30E-Z,YES,EXACT CANDIDATE,https://recom-power.com/pdf/Econoline/REC30E-Z.pdf,"REV 1/2024; 9-36 V input, 5 V 6 A output, 89% typical efficiency, 2 kVDC/1 min isolation; pin 5 trim deliberately unconnected",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO1,COMPUTE,JST,B2P-VH-B,COMPUTE protected output,Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,YES,EXACT CANDIDATE,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,candidate output to Raspberry Pi 5 compute; harness and derating open,NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI2,HMI,JST,B3P-VH-B,HMI 12 V input and active-low disable,Connector_JST:JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,YES,EXACT CANDIDATE,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,"contact map is project-owned; conductor, mating housing, contact and derating validation remain open",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F2,HMI,SELECTION REQUIRED,SELECTION REQUIRED,HMI input fuse - SELECTION REQUIRED,HR30_AUX:AUX_SELECTION_BLOCK,YES,SELECTION REQUIRED,SELECTION REQUIRED,"fault current, inrush, ambient, conductor and clearing coordination required",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
RP2,HMI,SELECTION REQUIRED,SELECTION REQUIRED,HMI reverse-polarity and inrush block - SELECTION REQUIRED,HR30_AUX:AUX_SELECTION_BLOCK,YES,SELECTION REQUIRED,https://recom-power.com/en/rec-s-REC30E-Z.html,RECOM states reverse polarity is not internal and high-power battery inputs require external protection/inrush control,NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
U2,HMI,RECOM,REC30E-2405SZ,REC30E-2405SZ HMI isolated converter,HR30_AUX:REC30E-Z,YES,EXACT CANDIDATE,https://recom-power.com/pdf/Econoline/REC30E-Z.pdf,"REV 1/2024; 9-36 V input, 5 V 6 A output, 89% typical efficiency, 2 kVDC/1 min isolation; pin 5 trim deliberately unconnected",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO2,HMI,JST,B2P-VH-B,HMI protected output,Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,YES,EXACT CANDIDATE,https://www.jst-mfg.com/product/pdf/eng/eVH.pdf,"candidate output to face display, cameras, audio and networking; harness and derating open",NO,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
