hold_id,hold,state,closure_evidence,release_effect,warning
R273-H01,Qualified reviewer accepts the exact contact-normal and J2 effective-arm extraction,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H02,Converged nonlinear one-rail and two-rail C06/C07 contact/root/interface analysis is accepted,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H03,"Worst-tolerance first-contact, rail sharing, edge contact and single-rail fault cases are accepted",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H04,As-built moving inertia including reflected rotor inertia is measured and accepted,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H05,Maximum approach and fault-overspeed values are configuration-bound and physically verified,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H06,Motor current and torque decay after contact are measured and included in the energy balance,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H07,"Bumper force-stroke, hysteresis, bottom-out, rebound, temperature, aging and retention are validated",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H08,"C06/C07 drawings, tolerance controls, DFM and first articles are accepted",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H09,Material lot MTR and finished minimum thickness are verified,OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R273-H10,"Fastener, frame, extrusion, prying, deflection, overtravel and fatigue load paths are accepted",OPEN,NOT EXECUTED,BLOCKS P0.13 SELECTION/FABRICATION/MOTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
