pair_id,coordinate,q1_lo_deg,q1_hi_deg,q2_lo_deg,q2_hi_deg,center_distance_mm,motion_bound_mm,guaranteed_clearance_mm,distance_method,subdivision_depth,status
J1_MIN_REGION:BASE_UPPER:COLUMN:J1_H101,J1,-25.000000000,-20.000000000,,,54.166362332,1.560946107,52.605416224,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-25.000000000,-20.000000000,,,82.935476393,2.010913863,80.924562530,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-25.000000000,-20.000000000,,,91.735428940,6.236055039,85.499373901,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:UPPER_DIST_ADAPTER,J1,-25.000000000,-20.000000000,,,184.123382191,6.659810012,177.463572179,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:J2_BODY,J1,-25.000000000,-20.000000000,,,201.168609603,9.465373036,191.703236567,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:J2_S102,J1,-25.000000000,-20.000000000,,,194.262726752,7.193575683,187.069151069,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-25.000000000,-20.000000000,,,44.641362332,1.560946107,43.080416224,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-25.000000000,-20.000000000,,,73.410476393,2.010913863,71.399562530,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-25.000000000,-20.000000000,,,82.210428940,6.236055039,75.974373901,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:UPPER_DIST_ADAPTER,J1,-25.000000000,-20.000000000,,,174.598382191,6.659810012,167.938572179,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
