reference,terminal,pin_name,net,status
JIN1,1,FUSED +12 V,BRANCH_FUSED_IN,EXACT PCB HEADER; MATING HARNESS HELD
JIN1,2,RETURN,ACT_0V_PE_BONDED,EXACT PCB HEADER; MATING HARNESS HELD
U1,1,EN/UVLO,UVLO_SET,EXACT EVALUATION CANDIDATE
U1,2,OVLO,OVLO_SET,EXACT EVALUATION CANDIDATE
U1,3,SPLYGD,SPLYGD_DIAG,EXACT EVALUATION CANDIDATE
U1,4,FLT,FLT_DIAG,EXACT EVALUATION CANDIDATE
U1,5,IN,BRANCH_FUSED_IN,EXACT EVALUATION CANDIDATE
U1,6,OUT,BRANCH_LIMITED_OUT,EXACT EVALUATION CANDIDATE
U1,7,dVdt,DVDT_SET,EXACT EVALUATION CANDIDATE
U1,9,ILM,ILM_SET,EXACT EVALUATION CANDIDATE
U1,10,ITIMER OPEN,INTENTIONALLY_OPEN_ITIMER,EXACT EVALUATION CANDIDATE
U1G,8,GND,ACT_0V_PE_BONDED,SAME DEVICE CROSS-REFERENCE
JOUT1,1,LIMITED +12 V,BRANCH_LIMITED_OUT,EXACT PCB HEADER; MATING HARNESS HELD
JOUT1,2,RETURN,ACT_0V_PE_BONDED,EXACT PCB HEADER; MATING HARNESS HELD
RILM1,1,ILM,ILM_SET,EXACT VARIANT MPN; APPLICATION HELD
RILM1,2,RETURN,ACT_0V_PE_BONDED,EXACT VARIANT MPN; APPLICATION HELD
RUVT1,1,IN,BRANCH_FUSED_IN,EXACT CANDIDATE
RUVT1,2,UVLO,UVLO_SET,EXACT CANDIDATE
RUVB1,1,UVLO,UVLO_SET,EXACT CANDIDATE
RUVB1,2,RETURN,ACT_0V_PE_BONDED,EXACT CANDIDATE
ROVT1,1,IN,BRANCH_FUSED_IN,EXACT CANDIDATE
ROVT1,2,OVLO,OVLO_SET,EXACT CANDIDATE
ROVB1,1,OVLO,OVLO_SET,EXACT CANDIDATE
ROVB1,2,RETURN,ACT_0V_PE_BONDED,EXACT CANDIDATE
CDV1,1,dVdt,DVDT_SET,EXACT EVALUATION CANDIDATE
CDV1,2,RETURN,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
CINHF1,1,IN,BRANCH_FUSED_IN,EXACT EVALUATION CANDIDATE
CINHF1,2,RETURN,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
CINBULK1,1,IN,BRANCH_FUSED_IN,EXACT EVALUATION CANDIDATE
CINBULK1,2,RETURN,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
COUTA1,1,OUT,BRANCH_LIMITED_OUT,EXACT EVALUATION CANDIDATE
COUTA1,2,RETURN,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
COUTB1,1,OUT,BRANCH_LIMITED_OUT,EXACT EVALUATION CANDIDATE
COUTB1,2,RETURN,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
DCLAMP1,1,K CATHODE,BRANCH_LIMITED_OUT,EXACT EVALUATION CANDIDATE
DCLAMP1,2,A ANODE,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
TPVIN1,1,BRANCH_FUSED_IN,BRANCH_FUSED_IN,EXACT EVALUATION CANDIDATE
TPOUT1,1,BRANCH_LIMITED_OUT,BRANCH_LIMITED_OUT,EXACT EVALUATION CANDIDATE
TPGND1,1,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT EVALUATION CANDIDATE
TPILM1,1,ILM_SET,ILM_SET,EXACT EVALUATION CANDIDATE
TPSPLY1,1,SPLYGD_DIAG,SPLYGD_DIAG,EXACT EVALUATION CANDIDATE
TPFLT1,1,FLT_DIAG,FLT_DIAG,EXACT EVALUATION CANDIDATE
