function_id,safety_function,applicable_stage,safe_state,input_subsystem,logic_subsystem,output_subsystem,restart_inhibition,candidate_plr,architecture_candidate,implementation_state,achieved_pl_claimed,validation_state,authority,warning
SFR-01,Emergency-stop demand removes actuator energy,E3-E7,both K1/K2 main paths open,dual NC E-stop,PNOZ s4 candidate,two series DC contactors,manual reset plus fresh motion command,d,Category 3 candidate,IMPLEMENTED AS UNVALIDATED TOPOLOGY,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-02,Prevention of unexpected restart,E3-E7,actuator permit absent and motion state inactive,E-stop/reset/EDM/configuration state,PNOZ monitored start plus deterministic controller,contactor coils and motion-enable boundary,reset cannot command motion,d,Category 3 candidate,IMPLEMENTED AS UNVALIDATED TOPOLOGY,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-03,External-device monitoring,E3-E7,restart inhibited after failed opening,K1/K2 mirror contacts,PNOZ feedback loop candidate,safety-output eligibility,fault cleared and manual reset,d,Category 3 candidate,IMPLEMENTED AS UNVALIDATED TOPOLOGY,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-04,Control-power loss enters safe state,E2-E7,all torque/TX/precharge/action-ready outputs inactive,supply/reset supervision,fail-low STM32 initialization plus external chain,logic outputs and contactor permit,fresh configuration check and manual reset,d,Category 3 target; architecture incomplete,PARTIAL - HARDWARE/HIL NOT EXECUTED,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-05,Actuator VDD backfeed prevention,E1-E7,every non-target branch remains de-energized,physical split-harness cavities,physical wiring segregation,25 individual power pairs,inspection before remating,d,Category 3 target; physical architecture,DEFINED - UNBUILT,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-06,Branch overcurrent interruption,E5-E7,faulted branch isolated without unsafe heating,branch current/fault,protection device selection required,individual branch feed,inspection and replacement,N/A,electrical protection study,NOT IMPLEMENTED,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-07,Watchdog loss requests safe stop,E2-E7,deterministic motion enable removed,heartbeat,watchdog/MCU diagnostic path,permit request only,manual reset plus fresh command,NOT ALLOCATED,diagnostic only,DEFINED - NO SAFETY CREDIT,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-08,Torque-disable command,E4-E7,all actuator torque commands inactive,controller state,deterministic firmware,serial command path,fresh bounded command after separate authorization,NOT ALLOCATED,standard control only,COMPILED - UNFLASHED,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-09,Charger interlock,future onboard,actuator permit absent while charging,charger-present contact,hardwired interlock candidate,safety eligibility,unplug plus manual reset,c,Category 2/3 selection required,FUTURE - OUT OF SCOPE,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-10,Fall restraint prevents head/floor contact,S1-S6,robot arrested within accepted envelope,mechanical fall,rated restraint system,gantry/harness/attachment,inspection after demand,N/A,mechanical protective measure,NOT SELECTED OR PROVED,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-11,Safety-related speed/travel limiting,S1-S7,joint remains within accepted speed/travel envelope,redundant position/speed evidence,future safety controller,independent torque/energy interruption,manual reset plus investigation,d,Category 3 target,NOT IMPLEMENTED - MOTION PROHIBITED,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-12,Power-loss collapse containment,S1-S7,no person contact or head/floor impact,rail/supply loss,passive supports/restraint plus future braking,mechanical capture,inspection after demand,d,mixed mechanical/SRP-CS target,NOT IMPLEMENTED - MOTION PROHIBITED,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
