fmea_id,item_or_boundary,failure_mode,local_effect,df01_effect,sf01_effect,sf03_effect,safe_by_design,required_control,verification,status
WDF-001,PI heartbeat source,stops toggling,DF-01 should time out; physical timing open,DF-01 should time out; physical timing open,none if independent paths remain intact,none if independent paths remain intact,conditional,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-001,open
WDF-002,PI heartbeat source,stuck-valid or plausible erroneous toggling,DF-01 can fail to demand stop,DF-01 can fail to demand stop,none by claim; containment assumes this failure,none by claim; containment assumes this failure,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-002;FI-003,open
WDF-003,WDCTRL1 RP2040/firmware/clock,both outputs commanded or stuck energized,both KWD relays can remain picked,both KWD relays can remain picked,E-stop and restart paths must remain effective,E-stop and restart paths must remain effective,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-004,open
WDF-004,UDRV1 or WD1_DRIVE,shorted on,KWD1 can remain picked,KWD1 can remain picked,channel-1 E-stop path must still open; exact fault influence open,channel-1 E-stop path must still open; exact fault influence open,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-005,open
WDF-005,KWD1 contact 11-14,welded/shorted closed,DF-01 channel 1 lost,DF-01 channel 1 lost,S0 channel 1 must still command SR1 dropout,S0 channel 1 must still command SR1 dropout,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-006;FI-019,open
WDF-006,KWD1 and KWD2 contacts 11-14,both welded/bypassed,DF-01 completely lost,DF-01 completely lost,both S0 channels and restart prevention must remain effective,both S0 channels and restart prevention must remain effective,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-007;FI-020,open
WDF-007,KWD coil or conductor,open,nuisance diagnostic stop expected,nuisance diagnostic stop expected,restart must remain inhibited after recovery,restart must remain inhibited after recovery,conditional,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-008,open
WDF-008,SR1 input return harness,short bypasses S0 contact or bridges input path,not a diagnostic-credit issue,not a diagnostic-credit issue,SF-01/SF-03 can be impaired; protected-routing decision required,SF-01/SF-03 can be impaired; protected-routing decision required,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-021;FI-022,open
WDF-009,SAFETY_24V,loss/brownout/recovery,DF-01 unavailable; relay chatter possible,DF-01 unavailable; relay chatter possible,dropout/recovery and no automatic restart must be proved,dropout/recovery and no automatic restart must be proved,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-009;FI-010,open
WDF-010,UFB1 feedback,false healthy/fault,diagnostic indication lost,diagnostic indication lost,"must have no coil, RESET or ARM authority","must have no coil, RESET or ARM authority",no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-011;FI-012,open
WDF-011,PCB/panel contamination,cross-net leakage or conductive bridge,unbounded ordinary behavior,unbounded ordinary behavior,SF-01/SF-03 impairment possible; cleanliness/separation unresolved,SF-01/SF-03 impairment possible; cleanliness/separation unresolved,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-023,open
WDF-012,KWD1 internal boundary,A1 SAFETY_24V short to terminal 14/SR1_S12,can inject voltage downstream of S0 channel 1,can inject voltage downstream of S0 channel 1,potential single-channel SF-01 impairment; qualified circuit analysis required,potential single-channel SF-01 impairment; qualified circuit analysis required,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-024,open
WDF-013,KWD2 internal boundary,A1 SAFETY_24V short to terminal 14/SR1_S22,can inject voltage downstream of S0 channel 2,can inject voltage downstream of S0 channel 2,potential single-channel SF-01 impairment; qualified circuit analysis required,potential single-channel SF-01 impairment; qualified circuit analysis required,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-025,open
WDF-014,KWD1 pole-to-pole boundary,terminal 21 SAFETY_24V short to terminal 14,feedback supply can reach SR1_S12,feedback supply can reach SR1_S12,potential channel-1 bypass; exact relay fault model open,potential channel-1 bypass; exact relay fault model open,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-024,open
WDF-015,KWD2 pole-to-pole boundary,terminal 21 SAFETY_24V short to terminal 14,feedback supply can reach SR1_S22,feedback supply can reach SR1_S22,potential channel-2 bypass; exact relay fault model open,potential channel-2 bypass; exact relay fault model open,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-025,open
WDF-016,adjacent KWD modules/panel wiring,common bridge from SAFETY_24V to both 14 returns,both SR1 returns may be forced,both SR1 returns may be forced,potential two-channel SF-01 defeat; redesign or accepted exclusion required,potential two-channel SF-01 defeat; redesign or accepted exclusion required,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-026,open
WDF-017,JWP1,pin 1 SAFETY_24V short to pin 3 or 4 coil sink,one/both KWD relays may energize,one/both KWD relays may energize,DF-01 lost; E-stop independence still must be proved,DF-01 lost; E-stop independence still must be proved,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-013,open
WDF-018,JWP1,pin 3-to-4 bridge,channels become coupled,channels become coupled,common-cause diagnostic loss; no safety credit,common-cause diagnostic loss; no safety credit,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-014,open
WDF-019,JWF1,pin 1-to-2 bridge,feedback channels become coupled,feedback channels become coupled,"must not affect E-stop, RESET or ARM authority","must not affect E-stop, RESET or ARM authority",no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-015,open
WDF-020,JWF1/PCB,WDx_NC_24V short to SAFETY_0V,branch fault/current and false indication,branch fault/current and false indication,F24/protection response and no safety-path damage open,F24/protection response and no safety-path damage open,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-016,open
WDF-021,ISO1,LED/transistor short or loss of isolation,heartbeat can be stuck or compute/safety returns coupled,heartbeat can be stuck or compute/safety returns coupled,no credited path may depend on isolation; return coupling consequence open,no credited path may depend on isolation; return coupling consequence open,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-017,open
WDF-022,DC1,input-output short,24 V may reach WD_5V/WDCTRL1,24 V may reach WD_5V/WDCTRL1,ordinary PCB damage must not propagate into credited wiring,ordinary PCB damage must not propagate into credited wiring,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-018,open
WDF-023,DC1/WD rails,slow brownout or oscillatory restart,spurious drive pulses possible,spurious drive pulses possible,no K1/K2 restoration without RESET then ARM,no K1/K2 restoration without RESET then ARM,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-010;FI-027,open
WDF-024,TP15/TP16/TP2 debug fixture,back-power or driven pin during source-off state,WDCTRL1 can execute or drive outputs unexpectedly,WDCTRL1 can execute or drive outputs unexpectedly,must not create contactor authority; unpowered fixture proof open,must not create contactor authority; unpowered fixture proof open,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-028,open
WDF-025,TP1..TP16 probe access,adjacent or dropped-probe short,multiple ordinary nets can be bridged,multiple ordinary nets can be bridged,fixture shall make hazardous bridges inaccessible or current-limited,fixture shall make hazardous bridges inaccessible or current-limited,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-023,open
WDF-026,shared enclosure,moisture/metal swarf/loose strand,cross-channel and safety/ordinary bridges possible,cross-channel and safety/ordinary bridges possible,environment and workmanship controls required; no fault exclusion accepted,environment and workmanship controls required; no fault exclusion accepted,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-023;FI-026,open
WDF-027,shared SAFETY_0V,open/high impedance,controllers/drivers/relays may chatter or float,controllers/drivers/relays may chatter or float,safe dropout and restart inhibition require physical proof,safe dropout and restart inhibition require physical proof,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-009;FI-027,open
WDF-028,KWD1/KWD2 replacement/service,"wrong module, polarity or terminal map",contact/coil behavior may differ,contact/coil behavior may differ,received identity and point-to-point verification mandatory,received identity and point-to-point verification mandatory,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-019;FI-020,open
WDF-029,unused KWD terminals 12/24,field wiring or conductive contact added,alternate contact paths introduced,alternate contact paths introduced,must remain isolated and inspected,must remain isolated and inspected,no,"Configuration-bound analysis, redesign or accepted fault control; no safety credit to diagnostic success",FI-021,open
