check_id,manual_location,manual_requirement,project_component,project_terminal_or_net,observed_project_definition,disposition,open_evidence,warning
PZC-001,"page 8; page 22",24 VDC supply at A1/A2,"SR1; SRA1","A1; A2","SRA1 A1=SAFETY_24V and A2=SAFETY_0V; SR1 A1=SR1_A1_WD_GATED and A2=SAFETY_0V",PARTIAL,"Received identity; measured supply range; branch protection; brownout and restart behavior; qualified application review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-002,"page 13",dual-channel E-stop with detection of shorts across contacts,SR1,"S11-S12; S21-S22","S11 -> S0 R-1/R-2 -> S12 and S21 -> S0 L-1/L-2 -> S22; no watchdog contact in either return",PARTIAL,"Received S0 contact/orientation proof; protected/separate routing; short/cross-short fault injection; selector inspection; qualified allocation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-003,"page 13; page 15",monitored manual start on falling edge uses S12 through start contact to S34,SR1,"S12; S34; S1 TBD-R1/TBD-R2","SR1_S12 -> S1 RESET NO -> SR1_START_RETURN -> SR1 S34",PARTIAL,"Received S1 terminal mapping; protected/separate routing; pulse/release timing; stuck/held reset tests; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-004,"page 8; page 11",13-14 23-24 and 33-34 are safety contacts,SR1,"13-14; 23-24; 33-34","13-14 bridges SRA1 S11-S12; 23-24 bridges SRA1 S21-S22; 33-34 intentionally unused",PARTIAL,"Output protection; received continuity; load/fault application; response timing; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-005,"page 13",dual-channel input with detection of shorts across contacts,SRA1,"S11-S12; S21-S22","SRA1 channel 1 is gated by SR1 13-14 and channel 2 by SR1 23-24",PARTIAL,"Protected/separate routing; cross-short fault injection; selector inspection; qualified allocation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-006,"page 15; page 16",monitored manual start may include NC external-device feedback from S12 to S34,SRA1,"S12; S34; S2 TBD-A1/TBD-A2; K1 21-22; K2 21-22","SRA1_S12 -> S2 ARM NO -> K1 21-22 NC mirror -> K2 21-22 NC mirror -> SRA1_START_RETURN -> SRA1 S34",PARTIAL,"Received S2 terminals; K1/K2 mirror-contact identity and use; protected/separate routing; weld/stuck contact injection; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-007,"page 8; page 11",safety outputs are separate from diagnostic outputs,SRA1,"13-14; 23-24","13-14 feeds FSR1 then K1 A1; 23-24 feeds FSR2 then K2 A1",PARTIAL,"FSR1/FSR2 fuse-link selection; coil/load application; protection coordination; loaded interruption and dropout tests",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-008,"page 8; page 11",41-42 and Y32 are auxiliary/diagnostic and not safety outputs,"SR1; SRA1","41-42; Y32","SR1 Y32 reports SR1_STATUS; SRA1 Y32 reports SRA1_STATUS; auxiliary contacts are diagnostic/unused and receive no safety credit",PARTIAL,"Exact diagnostic loading; fault noninterference; received continuity; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-009,"page 13",mode selector lower row third column gives short-across-contact detection with monitored falling-edge start,"SR1; SRA1",selector,"Project requires this selector position with supply removed then seal and inspect",OPEN,"Received-device selector photographs; independent inspection; seal control; operating sequence test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-010,"page 10; page 15",device does not detect shorts or cross-shorts in start and feedback circuits,"SR1; SRA1","SR1_S12/SR1_START_RETURN; SRA1_S12/ARM_AFTER_S2/EDM_K1_OUT/SRA1_START_RETURN","Schematic separates RESET and ARM/EDM returns; physical protected/separate routing is not defined or proved",OPEN,"Panel/harness routing; fault exclusions; conductor separation; inspection and short/cross-short fault injection; qualified acceptance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-011,"page 11",provide protection before safety output contacts and adequate suppression/protection for capacitive or inductive loads,"SR1; SRA1","SR1 13-14/23-24; SRA1 13-14/23-24; FSR1; FSR2","FSR1/FSR2 holders are candidates but fuse links and protection coordination remain SELECTION REQUIRED",OPEN,"Exact coil/load transients; prospective fault current; conductor limits; fuse links; interrupting capacity; manufacturer application confirmation; physical tests",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-012,"page 15; page 16",start and feedback behavior must be evaluated as an application,SRA1,"S2; K1 21-22; K2 21-22; S34","RESET cannot directly command K1/K2; a later falling-edge ARM through both open-state mirror contacts is required",PARTIAL,"Physical restart/dropout tests for E-stop release heartbeat restoration controller reboot held controls and welded feedback contacts; total response evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PZC-013,"page 8; page 22",A1 is device supply and published inrush/consumption are device data not application approval,SR1,"SAFETY_24V -> KWD1 11-14 -> WD_SUPPLY_INTERMEDIATE -> KWD2 11-14 -> SR1_A1_WD_GATED -> A1","Ordinary KWD contacts gate only SR1 A1; both S0 input returns remain direct; KWD path has zero safety credit",OPEN,"Pilz and relay-manufacturer application acceptance for switched A1; contact duty; brownout/recovery; physical separation; internal-fault analysis; fault injection; qualified functional-safety allocation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
