risk_id,hazard,cause,initial_severity,initial_likelihood,controls,linked_requirements,residual_risk,status
R-001,Crushing or pinching at joints,"powered motion or unexpected restart",critical,possible,"fixed guarding; exclusion zone; speed limits; hard E-stop; no auto restart; rounded covers","SAFE-001;SAFE-002;SAFE-004;SAFE-008",medium,open
R-002,Impact from arm or payload,"trajectory error; dropped object; overspeed",high,possible,"short reach; soft 100g payload; speed limits; catch tray; deterministic trajectories; guarding","SYS-002;SYS-003;SYS-004;CTRL-001",low,open
R-003,Runaway after control failure,"Pi crash; stale command; bus fault",critical,possible,"independent watchdog; bus watchdog; contactor power removal; latched reset","SAFE-003;CTRL-003",medium,open
R-004,Electrical shock or fire,"exposed mains; short circuit; undersized wiring",critical,unlikely,"tool-access grounded enclosure; PE bonding; branch fuses; reviewed ECAD; qualified wiring review","ELEC-003;ELEC-004",medium,open
R-005,Overheated actuator or wire,"sustained gravity torque; stall; excessive current limit",high,possible,"mass budget; characterization; current limit; temperature fault; limited duty cycle","THERM-001;CTRL-003",medium,open
R-006,Base detachment or structural fracture,"fastener loosening; inadequate plate or bench",critical,unlikely,"four-bolt steel-backed mount; 3x proof load; witness marks; preflight inspection","SAFE-006",medium,open
R-007,Unexpected motion from AI or remote input,"unbounded generated command; network compromise",critical,possible,"no direct AI actuator access; signed versioned trajectories; no V0 remote/voice trigger","CTRL-001;CTRL-002",low,open
R-008,Child exposure,"access during testing or premature demonstration",critical,possible,"explicit prohibition; controlled test area; separate future review and release","SAFE-005",low,open
R-009,Sharp edge or detached gripper part,"fabrication defect; fastener loosening",high,unlikely,"rounded edges; retained fasteners; inspection; proof test",SAFE-006,low,open
R-010,Unsafe substitution,"similar-looking part with different ratings",high,possible,"configuration record; exact MPN; substitution review",CFG-001,low,open
R-011,Full-height robot fall,"support failure; balance loss; accidental release",critical,possible,"bolted pedestal in HR-30A; engineered overhead restraint through HR-30D; padded controlled test area and fall release before HR-30W","PROD-004;PROD-005;LEG-002",medium,open
R-012,Increased stored and fault energy,"larger upper-body power supply; simultaneous actuator fault",critical,possible,"segmented fused branches; characterized current limits; DC-rated master disconnect; external low-voltage tether","ELEC-003;PROD-008",medium,open
R-013,Leg collapse or joint backdrive,"undersized actuator; power loss; brake absence",critical,possible,"legs unpowered/locked until separate testing; full-weight restraint through HR-30D; HR-30W release gate","LEG-001;PROD-004;LEG-002",medium,open
R-014,Mistaken assumption that child scale means toy safety,"friendly appearance encourages access",critical,possible,"clearly robotic styling; visible power state; controlled perimeter; explicit child prohibition","SAFE-005;PROD-007;PROD-009",low,open
R-015,Privacy or unexpected sensing,"camera active without clear notice",high,possible,"hardware-driven camera indicator; documented data controls",PROD-010,low,open
R-016,Dynamic fall during gait,"state-estimation error; slip; actuator saturation; trip",critical,likely,"progressive tethered tests; padded cell; fall predictor; arm/head protective pose; no people in fall zone","PROD-004;WALK-005;WALK-011",medium,open
R-017,Collapse after emergency stop or power loss,"unbraked leg joints lose torque",critical,possible,"overhead restraint through HR-30D; padded isolated HR-30W area; independent safe-power-loss gate before people","WALK-012;WALK-010",medium,open
R-018,Battery fire or high fault current,"cell damage; short; charging fault",critical,unlikely,"professional pack; fuse; BMS; precharge; service disconnect; rigid enclosure; charging/storage procedure",WALK-009,medium,open
R-019,Foot slip or false contact estimate,"low friction; sensor saturation; timing fault",critical,possible,"sole friction test; four-point or better foot sensing; synchronized 500Hz data; sensor fault injection","WALK-007;WALK-011",medium,open
R-020,Real-time deadline or bus failure,"Linux scheduling; saturated serial bus; controller crash",critical,possible,"real-time controller independent of Linux; segmented leg buses; deadline monitor; controlled abort","WALK-007;WALK-008",medium,open
R-021,Tether snag or restraint-induced swing,"routing error; slack loop catches mechanism; fall arrest creates pendulum motion",critical,possible,"controlled tether routing; swept-volume review; energy-absorbing rated restraint; exclusion zone; arrest testing","PROD-004;PROD-005;SAFE-009",medium,open
R-022,Dropped hardware or cable whip,"loose fastener; connector release; high-current cable restraint failure",high,possible,"retained fasteners; secondary cable restraint; inspection; enclosure; fixture and fault testing","SAFE-006;PROD-006",medium,open
R-023,Actuator regeneration overvoltage,"deceleration or gravity backdrive returns energy to a rail that cannot absorb it",critical,possible,"measured regenerative profile; selected clamp or sink architecture; rail telemetry; overvoltage fault response","ELEC-003;WALK-009;SAFE-009",medium,open
R-024,Belt or pulley release,"fastener loosening; tooth jump; belt fracture; inadequate retention",critical,possible,"dual-supported shafts; retained hardware; output-side sensing; proof and endurance tests","WALK-013;SAFE-009",medium,open
R-025,Motor and output encoder disagreement,"slip; sensor fault; calibration loss; wiring error",critical,possible,"independent comparison limits; startup plausibility; latched stop; logged calibration identity","WALK-013;CTRL-003;CFG-002",medium,open
R-026,IMU saturation or invalid attitude,"impact; excessive angular rate; clipping; timing or calibration fault",critical,possible,"range selection; validity flags; cross-check; injected saturation test; conservative stop response","WALK-007;WALK-011",medium,open
R-027,Foot-sensor saturation or overload,"edge loading; impact; damaged load cell; analog-front-end clipping",critical,possible,"mechanical overload stops; range margin; per-channel diagnostics; calibration and fault injection","WALK-007;WALK-011",medium,open
R-028,Toe catch or self-collision,"insufficient clearance; geometry error; cable or cover intrusion",critical,possible,"collision-checked CAD; controlled foot clearance; mechanical stops; restrained gait progression","WALK-002;SAFE-007",medium,open
R-029,Unexpected floor friction,"surface contamination; sole wear; friction outside validated envelope",critical,possible,"documented surface and sole tests; replaceable sole; slip detection; bounded gait","WALK-001;WALK-002",medium,open
