acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
ACC-01,"Current product identifiers match release metadata, P0.2 reconciliation and handoff",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-02,P1.15 system schematic reproduces native ERC 0 errors and 0 warnings,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-03,P0.2 star board reproduces native ERC/DRC 0 errors and 0 warnings,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-04,P0.3 carrier reproduces native ERC/DRC 0 errors and 0 warnings,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-05,P0.1 star CAM is demonstrably excluded from P0.2 fabrication use,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-06,All 91 BOM groups have reviewed closure classes and evidence,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-07,"EG-002, EG-003, EG-004, EG-014 and EG-015 remain fail-closed until their evidence is accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-08,Qualified reviewers accept the exact configuration and a distinct authority releases only the named next stage,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-09,P1.17 reproduces all P1.15 core components and terminal mappings and adds only OBS1/PIOBS1,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-10,P1.17 OBS1 terminal map and source hashes match current P0.5,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-11,P1.17 PIOBS1 selected terminals match the passive Pi carrier and omitted Pi positions remain no-copper,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-12,"Observation assemblies and harnesses receive independent electrical, DFM and physical acceptance before any work release",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-13,All five integrated custom-part files are byte-identical to the R213 P0.2 binding,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-14,P0.8 hole axes and complete transform/interface schedules match the controlled definition,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-15,"P0.8 collision, continuous-clearance and J2 stop evidence reproduce under the dedicated checker",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ACC-16,Physical DFM/FAI/fit/proof evidence and qualified mechanical acceptance are complete before any work release,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
