reference,terminal,sheet,pin_name,net,native_net_p114,native_net_p115,parity,warning
CDEC1,1,08_watchdog_feedback_interface.kicad_sch,3V3,WD_3V3,WD_3V3,WD_3V3,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDEC1,2,08_watchdog_feedback_interface.kicad_sch,GND1,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDRV1,1,07_watchdog_control.kicad_sch,COM RAIL,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDRV1,2,07_watchdog_control.kicad_sch,RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDRV2,1,07_watchdog_control.kicad_sch,COM RAIL,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CDRV2,2,07_watchdog_control.kicad_sch,RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CFI1,1,08_watchdog_feedback_interface.kicad_sch,SENSE,FB_SENSE1,FB_SENSE1,FB_SENSE1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CFI1,2,08_watchdog_feedback_interface.kicad_sch,FIELD RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CFI2,1,08_watchdog_feedback_interface.kicad_sch,SENSE,FB_SENSE2,FB_SENSE2,FB_SENSE2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
CFI2,2,08_watchdog_feedback_interface.kicad_sch,FIELD RETURN,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
DC1,1,07_watchdog_control.kicad_sch,+VIN,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
DC1,2,07_watchdog_control.kicad_sch,GND,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
DC1,3,07_watchdog_control.kicad_sch,+VOUT 5V,WD_5V,WD_5V,WD_5V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F0,1,05_actuator_interruption.kicad_sch,SOURCE,ACT_12V_RAW,ACT_12V_RAW,ACT_12V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F0,2,05_actuator_interruption.kicad_sch,PROTECTED,ACT_12V_FUSED,ACT_12V_FUSED,ACT_12V_FUSED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F24,IN,01_external_sources.kicad_sch,SOURCE +24V,SAFETY_24V_RAW,SAFETY_24V_RAW,SAFETY_24V_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F24,OUT,01_external_sources.kicad_sch,PROTECTED +24V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR1,1,04_contactor_edm.kicad_sch,IN,SRA1_K1_RAW,SRA1_K1_RAW,SRA1_K1_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR1,2,04_contactor_edm.kicad_sch,OUT,K1_A1,K1_A1,K1_A1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR2,1,04_contactor_edm.kicad_sch,IN,SRA1_K2_RAW,SRA1_K2_RAW,SRA1_K2_RAW,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR2,2,04_contactor_edm.kicad_sch,OUT,K2_A1,K2_A1,K2_A1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
H1,TBD-HA,02_estop_eligibility.kicad_sch,UNVERIFIED LAMP TERMINAL A,SR1_STATUS,SR1_STATUS,SR1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
